,SEQ_NO,YEAR,ISO,COUNTRY_CDE,LAND_AREA,HARV_AREA,FERT,YIELD,AVG_TEMP_JAN,AVG_TEMP_FEB,AVG_TEMP_MAR,AVG_TEMP_APR,AVG_TEMP_MAY,AVG_TEMP_JUN,AVG_TEMP_JUL,AVG_TEMP_AUG,AVG_TEMP_SEP,AVG_TEMP_OCT,AVG_TEMP_NOV,AVG_TEMP_DEC,AVG_RF_JAN,AVG_RF_FEB,AVG_RF_MAR,AVG_RF_APR,AVG_RF_MAY,AVG_RF_JUN,AVG_RF_JUL,AVG_RF_AUG,AVG_RF_SEP,AVG_RF_OCT,AVG_RF_NOV,AVG_RF_DEC,AVG_Q1_TEMP,AVG_Q2_TEMP,AVG_Q3_TEMP,AVG_Q4_TEMP,AVG_Q4_RF,AVG_Q3_RF,AVG_Q2_RF,AVG_Q1_RF
1,1,1991,AFG,0,65286,173000,6.14,1.94,-0.0311,1.43654,6.88685,12.9397,17.0755,23.0777,25.571,23.9673,19.38,12.8779,7.31675,4.23571,64.7765,59.4025,119.625,51.8025,57.2438,5.58788,4.39142,4.66582,12.6348,4.09568,12.6671,38.5569,2.764096667,17.69763333,22.97276667,8.143453333,18.43989333,7.23068,38.21139333,81.268
2,2,1992,AFG,0,65286,175000,5.79,1.71,0.74637,2.46018,5.71341,11.6926,16.1108,22.8875,24.7068,22.8633,17.8588,12.6981,8.32035,4.47636,75.1985,44.5805,58.6092,90.8628,34.7664,7.39691,8.91189,10.1698,4.40101,15.8779,9.92092,47.4604,2.97332,16.89696667,21.80963333,8.49827,24.41974,7.827566667,44.34203667,59.46273333
3,3,1993,AFG,0,65286,175000,5.11,1.71,-0.0835,4.33465,6.12034,13.3735,18.7452,22.888,24.632,23.3201,19.6343,12.0373,7.40369,3.32008,47.9213,46.927,67.092,41.4273,38.0458,10.107,7.88719,4.32338,3.47033,7.6213,21.5809,20.6818,3.457163333,18.33556667,22.5288,7.587023333,16.628,5.226966667,29.86003333,53.9801
4,4,1994,AFG,0,65286,180000,5.820434783,1.9,1.11415,1.14112,8.97734,11.9926,18.6745,23.8788,25.0045,24.5555,17.101,12.5059,9.5064,2.50841,50.3801,43.8107,74.9139,35.9706,25.9785,7.26142,17.0526,7.61655,8.43061,21.0475,12.8199,36.94,3.744203333,18.18196667,22.22033333,8.17357,23.60246667,11.03325333,23.07017333,56.36823333
5,5,1995,AFG,0,65286,170000,5.820434783,2.29,0.92358,2.96133,6.36893,12.2676,18.1187,23.4941,25.7798,24.376,19.0225,13.5466,7.86943,1.76217,13.7274,60.9835,52.3526,73.8204,12.7629,8.50095,12.0852,7.05167,4.06235,13.5896,6.24458,35.717,3.417946667,17.96013333,23.05943333,7.726066667,18.51706,7.733073333,31.69475,42.3545
6,6,1996,AFG,0,65286,175000,0.65,1.94,-0.4884,2.86922,7.29518,13.2754,17.2489,22.8459,24.7896,23.3293,20.2124,12.8698,5.62819,3.12772,41.9141,54.8144,93.2405,44.8843,27.5259,10.1477,5.44735,9.23368,2.67251,14.7186,9.68384,6.71934,3.225333333,17.79006667,22.7771,7.20857,10.37392667,5.784513333,27.5193,63.323
7,7,1997,AFG,0,65286,180000,0.65,2.22,1.08346,2.14471,6.98142,12.498,16.4327,23.3475,26,23.9246,19.8114,14.2275,5.86869,2.09488,34.3467,15.9446,72.1686,71.109,33.6543,11.868,9.95895,6.03228,2.43264,24.3424,15.7776,33.6227,3.403196667,17.42606667,23.24533333,7.397023333,24.5809,6.14129,38.8771,40.81996667
8,8,1998,AFG,0,65286,180000,0.9,2.5,0.37702,1.63968,7.0112,14.8399,18.3174,22.6717,25.7497,24.2609,19.7355,14.2675,7.85273,4.55596,65.6699,79.4169,60.623,64.0368,43.7065,11.9479,8.83775,5.55621,4.13159,6.05833,3.35615,5.12023,3.0093,18.60966667,23.2487,8.892063333,4.844903333,6.175183333,39.89706667,68.56993333
9,9,1999,AFG,0,65286,140000,0.65,2,0.53312,4.96015,7.70394,14.4679,19.0676,24.0798,25.8252,24.483,20.7824,14.9555,8.22556,3.80288,45.218,64.4378,67.7317,27.8973,11.3186,4.20989,14.4336,5.87446,6.12718,3.42177,40.0525,4.54192,4.39907,19.2051,23.69686667,8.994646667,16.00539667,8.811746667,14.47526333,59.12916667
10,10,2000,AFG,0,65286,130000,0.65,2,1.62425,1.92871,7.48463,16.4319,21.7835,23.1498,24.749,23.9989,19.6963,13.8838,6.76671,3.78914,37.8614,33.8279,31.507,7.42546,3.90986,4.35128,9.67761,5.64205,7.03612,21.8608,16.5423,22.1704,3.679196667,20.45506667,22.81473333,8.14655,20.19116667,7.451926667,5.228866667,34.39876667
11,11,2001,AFG,0,65286,121000,2.39,2,-0.231,2.98913,8.45549,15.7349,21.5411,24.0585,25.3915,23.9876,19.0645,13.9918,8.41102,4.7063,18.0513,24.0815,37.061,19.1449,6.86481,10.3979,10.122,6.05264,3.02941,5.91485,16.4592,27.6653,3.737873333,20.44483333,22.81453333,9.036373333,16.67978333,6.40135,12.13587,26.39793333
12,12,2002,AFG,0,65286,135000,3.4,2.87,1.81099,3.04201,9.28162,14.2283,19.4492,23.6676,25.3288,24.8584,19.2846,15.1623,7.97555,1.69601,30.2343,54.0856,41.8525,50.5211,16.3633,9.90821,2.64574,6.15613,3.68139,6.5459,25.0684,44.8059,4.71154,19.11503333,23.15726667,8.277953333,25.4734,4.161086667,25.59753667,42.05746667
13,13,2003,AFG,0,65286,145000,3.28,2.99,1.64129,3.51946,7.63327,13.9795,16.5732,23.36,25.8287,24.3286,19.5703,14.2839,6.45859,2.58429,30.2311,75.0596,61.6596,47.1884,24.3608,4.76601,13.9574,10.8023,6.16668,4.44266,29.4578,20.6226,4.264673333,17.9709,23.24253333,7.775593333,18.17435333,10.30879333,25.43840333,55.6501
14,14,2004,AFG,0,65286,195000,4.54,2.37,2.40628,5.05846,10.6776,14.5146,19.4212,23.5871,25.2224,24.3188,19.8138,12.3066,9.41479,3.10866,70.9602,27.6002,20.7934,34.8941,9.40181,6.35944,5.63532,8.29637,4.11603,10.3864,19.6109,70.7814,6.047446667,19.1743,23.11833333,8.276683333,33.5929,6.015906667,16.88511667,39.7846
15,15,2005,AFG,0,65286,160000,4.24,3.03,0.33975,0.80086,9.18563,13.5752,16.9292,23.7403,25.7917,23.968,20.8035,14.5482,7.36499,3.53897,56.9705,95.3846,74.6872,25.2782,53.1841,4.0454,7.92948,5.13398,4.12368,6.20864,15.9667,6.40713,3.44208,18.08156667,23.52106667,8.484053333,9.52749,5.729046667,27.50256667,75.68076667
16,16,2006,AFG,0,65286,160000,6.29,3.38,-0.5844,6.36982,9.07679,14.7185,21.7727,23.2928,25.9808,24.38,19.3212,16.3872,8.09956,1.19483,58.4091,37.0712,44.6099,25.9767,8.6857,6.10029,9.32455,13.7964,4.10366,11.0719,46.4695,59.8266,4.95407,19.928,23.22733333,8.56053,39.12266667,9.07487,13.58756333,46.69673333
17,17,2007,AFG,0,65286,170000,3.62,3.25,0.50812,3.83634,7.24586,16.5387,19.1082,23.8027,25.1984,23.979,19.5104,11.8312,8.87729,1.69748,20.2476,80.2155,90.4853,22.7637,14.9475,10.2931,11.0242,6.0282,4.60324,1.27345,6.81448,35.2599,3.86344,19.81653333,22.89593333,7.468656667,14.44927667,7.218546667,16.00143333,63.64946667
18,18,2008,AFG,0,65286,190000,2.99,3.22,-4.1737,0.89203,11.7119,14.5478,20.8788,25.4792,26.1291,24.0675,20.0349,14.8832,7.17362,3.40945,71.5091,27.3918,9.29818,40.3293,11.9907,6.6884,17.11,20.085,4.45832,7.58035,8.07553,33.5477,2.810076667,20.30193333,23.4105,8.488756667,16.40119333,13.88444,19.66946667,36.06636
19,19,2009,AFG,0,65286,2.00E+05,4.52,3.22,1.53049,4.82674,10.1183,11.8273,19.4634,22.0704,25.7536,25.4188,20.2366,13.3825,7.23475,3.5232,55.2724,65.3152,50.9169,82.9174,25.8133,12.8482,5.43757,4.89936,2.20095,5.32764,17.1938,45.135,5.491843333,17.78703333,23.803,8.046816667,22.55214667,4.179293333,40.5263,57.16816667
