Country,Year,Average of Harevested Ares in Hectares,Average of Production in Tonees,Average of Yield Tonnes/hectare,"rice consumption per year
kg/yr",Consumer Price Index,"rice consumption per capita
kg/yr","irrigatble land
1000 hectares",Land area(1000 hectares),export quantity(tonnes),export value(1000 USD),import value(1000 USD),import quantity(tonnes),Average Quarter 1 temperature(Celcios),Average Quarter 2 temperature(Celcios),Average Quarter 3 temperature(Celcios),Average Quarter 4 temperature(Celcios),Average Quarter 1 rainfall (in MM),Average Quarter 2 rainfall (in MM),Average Quarter 3 rainfall (in MM),Average Quarter 4 rainfall (in MM),Average Yearly Humidity
BANGLADESH,2000,10844107,37630250,3.47,163.94,53.91,163.94,NA,13017.00,NA,500.00,64069.00,401000.00,20.63716667,27.5497,27.96063333,23.39566667,41.22196667,336.2166667,368.9123333,62.28833,46
BANGLADESH,2001,10663500,36369000,3.41,172.90,54.99,172.90,NA,13017.00,NA,400.00,22420.00,313000.00,22.1808,27.98283333,28.42163333,23.96386667,13.68042333,312.3613333,332.4726667,90.83757667,32
BANGLADESH,2002,10774000,37688500,3.5,172.94,56.82,172.94,NA,13017.00,NA,242.00,146030.00,1112000.00,22.0706,27.89256667,27.9815,23.7353,24.21788333,330.302,418.3486667,71.10016,33
BANGLADESH,2003,10813520,38796710,3.59,175.95,60.04,175.95,NA,13017.00,NA,188.00,219575.00,801000.00,21.1238,28.121,28.6281,23.6288,21.49079667,267.9876667,391.3923333,110.159,22
BANGLADESH,2004,10624051,37319988,3.515,174.21,64.60,174.21,4787.00,13017.00,NA,238.00,211464.00,785000.00,22.01396667,28.284,28.16323333,23.3678,14.45502667,322.5283333,270.4066667,119.39771,10
BANGLADESH,2005,10812033.5,41468308,3.835,169.41,69.15,169.41,4760.00,13017.00,NA,4054.00,135307.00,531000.00,22.2224,28.3825,28.405,23.50073333,31.06762,222.5376667,304.1243333,81.55274667,45
BANGLADESH,2006,10889500,42138500,3.865,171.11,73.83,171.11,4883.00,13017.00,NA,6034.00,62408.00,1570000.00,23.1111,28.20923333,28.60246667,24.0675,4.670703333,272.1546667,370.0313333,46.66593,12
BANGLADESH,2007,10837500,43192500,3.985,176.07,80.56,176.07,NA,13017.00,NA,5973.00,155419.00,1658000.00,21.59756667,28.44583333,28.44273333,24.0533,21.17432,324.928,597.258,89.87092667,14
BANGLADESH,2008,11319575,46773500,4.13,174.27,87.73,174.27,NA,13017.00,NA,7063.00,289175.00,146000.00,21.51713333,28.2862,28.27676667,23.93926667,24.66806667,261.5283333,378.773,56.58139,56
BANGLADESH,2009,11476766,47324500,4.125,173.13,92.48,173.13,NA,13017.00,NA,3455.00,14116.00,660000.00,23.00503333,28.97153333,28.79833333,24.1133,14.32374667,211.2853333,391.559,75.13898667,34
BANGLADESH,2010,11614500,48808100,4.205,172.79,100.00,172.79,NA,13017.00,NA,2922.00,273723.00,1486000.00,22.48956667,28.90796667,28.76476667,24.28876667,34.44431667,336.37,333.9993333,77.90192,23
BANGLADESH,2011,11624000,50591000,4.35,172.62,110.70,172.62,NA,13017.00,NA,821.00,638721.00,53000.00,21.59786667,28.16916667,28.2772,23.81373333,15.98076,325.0219667,567.2856667,24.41054333,45
BANGLADESH,2012,11536500,50616000,4.39,172.47,117.59,172.47,NA,13017.00,NA,2767.00,20531.00,114000.00,20.8427,27.98953333,28.13853333,22.94433333,23.28351333,242.0613333,375.929,68.43933333,56
BANGLADESH,2013,11561000,51562000,4.46,171.73,126.44,171.73,NA,13017.00,NA,3386.00,118506.00,1335000.00,21.2596,27.83813333,28.09193333,22.3848,7.251873333,260.0963333,367.8956667,85.11234667,76
BANGLADESH,2014,11554745,52040310,4.505,NA,135.28,NA,NA,13017.00,25000.00,4477.00,369729.00,598000.00,20.26386667,28.50463333,28.1376,22.56813333,14.79596667,201.8395667,405.1656667,19.3235,34
BANGLADESH,2015,11568387.5,51516700,4.455,NA,143.66,NA,NA,13017.00,4000.00,6048.00,405843.00,35000.00,20.95186667,27.65793333,28.0143,22.91966667,18.06042,272.139,527.073,30.72851,34
BANGLADESH,2016,11566976.5,52231000,4.52,NA,NA,NA,NA,NA,4000.00,4254.00,19599.00,2348000.00,21.54333333,28.16453333,28.31656667,23.40256667,22.98983,208.0213333,408.604,67.83061,32
BANGLADESH,2017,11272000,48980000,4.35,NA,NA,NA,NA,NA,4000.00,NA,NA,1200000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BANGLADESH,2018,11770000,52055000,4.42,NA,NA,NA,NA,NA,NA,NA,NA,1100000.00,NA,NA,NA,NA,NA,NA,NA,NA,22
BRAZIL,2000,3403402,10665294,3.145,38.24,52.54,38.24,NA,835814.00,19000.00,6505.00,140746.00,676000.00,NA,NA,NA,NA,NA,NA,NA,NA,12
BRAZIL,2001,3145913,10288592.5,3.27,35.41,56.14,35.41,NA,835814.00,29000.00,5544.00,136097.00,564000.00,NA,NA,NA,NA,NA,NA,NA,NA,14
BRAZIL,2002,3164025.5,10406993,3.285,34.37,60.88,34.37,NA,835814.00,19000.00,6016.00,113825.00,1306000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BRAZIL,2003,3456429.5,11570801.5,3.34,35.92,69.84,35.92,NA,835814.00,37000.00,4838.00,299771.00,829000.00,NA,NA,NA,NA,NA,NA,NA,NA,21
BRAZIL,2004,3827074,13253004,3.465,38.34,74.45,38.34,NA,835814.00,272000.00,7611.00,252658.00,548000.00,NA,NA,NA,NA,NA,NA,NA,NA,23
BRAZIL,2005,3455927.5,12385931.5,3.62,39.25,79.56,39.25,NA,835814.00,291000.00,56705.00,129460.00,691000.00,NA,NA,NA,NA,NA,NA,NA,NA,34
