Country,Year,Variable,Source,Value,Unit
AFGHANISTAN,2015,ARABLE LAND,FAO,7765.00,1000 ha
AFGHANISTAN,2014,ARABLE LAND,FAO,7771.00,1000 ha
AFGHANISTAN,2013,ARABLE LAND,FAO,7785.00,1000 ha
AFGHANISTAN,2012,ARABLE LAND,FAO,7790.00,1000 ha
AFGHANISTAN,2011,ARABLE LAND,FAO,7791.00,1000 ha
AFGHANISTAN,2010,ARABLE LAND,FAO,7793.00,1000 ha
AFGHANISTAN,2009,ARABLE LAND,FAO,7793.00,1000 ha
AFGHANISTAN,2008,ARABLE LAND,FAO,7794.00,1000 ha
AFGHANISTAN,2007,ARABLE LAND,FAO,7794.00,1000 ha
AFGHANISTAN,2006,ARABLE LAND,FAO,7794.00,1000 ha
AFGHANISTAN,2005,ARABLE LAND,FAO,7805.00,1000 ha
AFGHANISTAN,2004,ARABLE LAND,FAO,7816.00,1000 ha
AFGHANISTAN,2003,ARABLE LAND,FAO,7772.00,1000 ha
AFGHANISTAN,2002,ARABLE LAND,FAO,7678.00,1000 ha
AFGHANISTAN,2001,ARABLE LAND,FAO,7683.00,1000 ha
AFGHANISTAN,2000,ARABLE LAND,FAO,7683.00,1000 ha
AFGHANISTAN,1999,ARABLE LAND,FAO,7653.00,1000 ha
AFGHANISTAN,1998,ARABLE LAND,FAO,7757.00,1000 ha
AFGHANISTAN,1997,ARABLE LAND,FAO,7685.00,1000 ha
AFGHANISTAN,1996,ARABLE LAND,FAO,7647.00,1000 ha
AFGHANISTAN,1995,ARABLE LAND,FAO,7653.00,1000 ha
AFGHANISTAN,1994,ARABLE LAND,FAO,7703.00,1000 ha
AFGHANISTAN,1993,ARABLE LAND,FAO,7824.00,1000 ha
AFGHANISTAN,1992,ARABLE LAND,FAO,7910.00,1000 ha
AFGHANISTAN,1991,ARABLE LAND,FAO,7910.00,1000 ha
ALBANIA,2015,ARABLE LAND,FAO,615.10,1000 ha
ALBANIA,2014,ARABLE LAND,FAO,615.60,1000 ha
ALBANIA,2013,ARABLE LAND,FAO,617.10,1000 ha
ALBANIA,2012,ARABLE LAND,FAO,619.10,1000 ha
ALBANIA,2011,ARABLE LAND,FAO,622.00,1000 ha
ALBANIA,2010,ARABLE LAND,FAO,626.00,1000 ha
ALBANIA,2009,ARABLE LAND,FAO,609.00,1000 ha
ALBANIA,2008,ARABLE LAND,FAO,610.00,1000 ha
ALBANIA,2007,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,2006,ARABLE LAND,FAO,584.00,1000 ha
ALBANIA,2005,ARABLE LAND,FAO,538.00,1000 ha
ALBANIA,2004,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,2003,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,2002,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,2001,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,2000,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,1999,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1998,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1997,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,1996,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1995,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1994,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1993,ARABLE LAND,FAO,577.00,1000 ha
ALBANIA,1992,ARABLE LAND,FAO,578.00,1000 ha
ALBANIA,1991,ARABLE LAND,FAO,578.00,1000 ha
ALGERIA,2015,ARABLE LAND,FAO,7462.10,1000 ha
ALGERIA,2014,ARABLE LAND,FAO,7469.40,1000 ha
ALGERIA,2013,ARABLE LAND,FAO,7496.20,1000 ha
ALGERIA,2012,ARABLE LAND,FAO,7506.50,1000 ha
ALGERIA,2011,ARABLE LAND,FAO,7502.00,1000 ha
ALGERIA,2010,ARABLE LAND,FAO,7502.00,1000 ha
ALGERIA,2009,ARABLE LAND,FAO,7493.00,1000 ha
ALGERIA,2008,ARABLE LAND,FAO,7489.00,1000 ha
ALGERIA,2007,ARABLE LAND,FAO,7469.00,1000 ha
ALGERIA,2006,ARABLE LAND,FAO,7470.00,1000 ha
ALGERIA,2005,ARABLE LAND,FAO,7511.00,1000 ha
ALGERIA,2004,ARABLE LAND,FAO,7493.00,1000 ha
ALGERIA,2003,ARABLE LAND,FAO,7503.70,1000 ha
ALGERIA,2002,ARABLE LAND,FAO,7547.00,1000 ha
ALGERIA,2001,ARABLE LAND,FAO,7583.00,1000 ha
ALGERIA,2000,ARABLE LAND,FAO,7662.00,1000 ha
ALGERIA,1999,ARABLE LAND,FAO,7673.00,1000 ha
ALGERIA,1998,ARABLE LAND,FAO,7661.00,1000 ha
ALGERIA,1997,ARABLE LAND,FAO,7650.00,1000 ha
ALGERIA,1996,ARABLE LAND,FAO,7521.00,1000 ha
ALGERIA,1995,ARABLE LAND,FAO,7519.00,1000 ha
ALGERIA,1994,ARABLE LAND,FAO,7477.00,1000 ha
ALGERIA,1993,ARABLE LAND,FAO,7533.00,1000 ha
ALGERIA,1992,ARABLE LAND,FAO,7562.00,1000 ha
ALGERIA,1991,ARABLE LAND,FAO,7260.00,1000 ha
AMERICAN SAMOA,2015,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2014,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2013,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2012,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2011,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2010,ARABLE LAND,FAO,3.00,1000 ha
AMERICAN SAMOA,2009,ARABLE LAND,FAO,3.00,1000 ha
