Country,Year,Variable,Source,Value,Unit
ALBANIA,2016,DRAFT ANIMALS,FAO,93.00,Head
ALBANIA,2015,DRAFT ANIMALS,FAO,106.00,Head
ALBANIA,2014,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2013,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2012,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2011,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2010,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2009,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2008,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2007,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2006,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2005,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2004,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2003,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2002,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2001,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,2000,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,1999,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,1998,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,1997,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,1996,DRAFT ANIMALS,FAO,120.00,Head
ALBANIA,1995,DRAFT ANIMALS,FAO,110.00,Head
ALBANIA,1994,DRAFT ANIMALS,FAO,110.00,Head
ALBANIA,1993,DRAFT ANIMALS,FAO,1700.00,Head
ALBANIA,1992,DRAFT ANIMALS,FAO,1700.00,Head
ALBANIA,1991,DRAFT ANIMALS,FAO,1700.00,Head
ARMENIA,2016,DRAFT ANIMALS,FAO,691.00,Head
ARMENIA,2015,DRAFT ANIMALS,FAO,720.00,Head
ARMENIA,2014,DRAFT ANIMALS,FAO,731.00,Head
ARMENIA,2013,DRAFT ANIMALS,FAO,531.00,Head
ARMENIA,2012,DRAFT ANIMALS,FAO,472.00,Head
ARMENIA,2011,DRAFT ANIMALS,FAO,460.00,Head
ARMENIA,2010,DRAFT ANIMALS,FAO,455.00,Head
ARMENIA,2009,DRAFT ANIMALS,FAO,440.00,Head
ARMENIA,2008,DRAFT ANIMALS,FAO,497.00,Head
ARMENIA,2007,DRAFT ANIMALS,FAO,527.00,Head
ARMENIA,2006,DRAFT ANIMALS,FAO,399.00,Head
ARMENIA,2005,DRAFT ANIMALS,FAO,402.00,Head
ARMENIA,2004,DRAFT ANIMALS,FAO,392.00,Head
ARMENIA,2003,DRAFT ANIMALS,FAO,473.00,Head
ARMENIA,2002,DRAFT ANIMALS,FAO,538.00,Head
ARMENIA,2001,DRAFT ANIMALS,FAO,486.00,Head
ARMENIA,2000,DRAFT ANIMALS,FAO,436.00,Head
ARMENIA,1999,DRAFT ANIMALS,FAO,460.00,Head
ARMENIA,1998,DRAFT ANIMALS,FAO,482.00,Head
ARMENIA,1997,DRAFT ANIMALS,FAO,643.00,Head
ARMENIA,1996,DRAFT ANIMALS,FAO,602.00,Head
ARMENIA,1995,DRAFT ANIMALS,FAO,698.00,Head
ARMENIA,1994,DRAFT ANIMALS,FAO,579.00,Head
ARMENIA,1993,DRAFT ANIMALS,FAO,336.00,Head
ARMENIA,1992,DRAFT ANIMALS,FAO,325.00,Head
AZERBAIJAN,2016,DRAFT ANIMALS,FAO,214224.00,Head
AZERBAIJAN,2015,DRAFT ANIMALS,FAO,242294.00,Head
AZERBAIJAN,2014,DRAFT ANIMALS,FAO,252317.00,Head
AZERBAIJAN,2013,DRAFT ANIMALS,FAO,260889.00,Head
AZERBAIJAN,2012,DRAFT ANIMALS,FAO,265872.00,Head
AZERBAIJAN,2011,DRAFT ANIMALS,FAO,269386.00,Head
AZERBAIJAN,2010,DRAFT ANIMALS,FAO,277400.00,Head
AZERBAIJAN,2009,DRAFT ANIMALS,FAO,288832.00,Head
AZERBAIJAN,2008,DRAFT ANIMALS,FAO,298975.00,Head
AZERBAIJAN,2007,DRAFT ANIMALS,FAO,299121.00,Head
AZERBAIJAN,2006,DRAFT ANIMALS,FAO,302887.00,Head
AZERBAIJAN,2005,DRAFT ANIMALS,FAO,308551.00,Head
AZERBAIJAN,2004,DRAFT ANIMALS,FAO,307359.00,Head
AZERBAIJAN,2003,DRAFT ANIMALS,FAO,306356.00,Head
AZERBAIJAN,2002,DRAFT ANIMALS,FAO,303559.00,Head
AZERBAIJAN,2001,DRAFT ANIMALS,FAO,298649.00,Head
AZERBAIJAN,2000,DRAFT ANIMALS,FAO,296981.00,Head
AZERBAIJAN,1999,DRAFT ANIMALS,FAO,292144.00,Head
AZERBAIJAN,1998,DRAFT ANIMALS,FAO,293300.00,Head
AZERBAIJAN,1997,DRAFT ANIMALS,FAO,302000.00,Head
AZERBAIJAN,1996,DRAFT ANIMALS,FAO,298000.00,Head
AZERBAIJAN,1995,DRAFT ANIMALS,FAO,291900.00,Head
AZERBAIJAN,1994,DRAFT ANIMALS,FAO,290900.00,Head
AZERBAIJAN,1993,DRAFT ANIMALS,FAO,297600.00,Head
AZERBAIJAN,1992,DRAFT ANIMALS,FAO,292900.00,Head
BANGLADESH,2016,DRAFT ANIMALS,FAO,1471000.00,Head
BANGLADESH,2015,DRAFT ANIMALS,FAO,1464000.00,Head
BANGLADESH,2014,DRAFT ANIMALS,FAO,1457000.00,Head
BANGLADESH,2013,DRAFT ANIMALS,FAO,1465000.00,Head
BANGLADESH,2012,DRAFT ANIMALS,FAO,1443000.00,Head
BANGLADESH,2011,DRAFT ANIMALS,FAO,1394000.00,Head
BANGLADESH,2010,DRAFT ANIMALS,FAO,1349000.00,Head
BANGLADESH,2009,DRAFT ANIMALS,FAO,1304000.00,Head
BANGLADESH,2008,DRAFT ANIMALS,FAO,1260000.00,Head
BANGLADESH,2007,DRAFT ANIMALS,FAO,1210000.00,Head
BANGLADESH,2006,DRAFT ANIMALS,FAO,1160000.00,Head
BANGLADESH,2005,DRAFT ANIMALS,FAO,1110000.00,Head
BANGLADESH,2004,DRAFT ANIMALS,FAO,1060000.00,Head
BANGLADESH,2003,DRAFT ANIMALS,FAO,1010000.00,Head
BANGLADESH,2002,DRAFT ANIMALS,FAO,970000.00,Head
BANGLADESH,2001,DRAFT ANIMALS,FAO,920000.00,Head
BANGLADESH,2000,DRAFT ANIMALS,FAO,890000.00,Head
BANGLADESH,1999,DRAFT ANIMALS,FAO,850000.00,Head
BANGLADESH,1998,DRAFT ANIMALS,FAO,820000.00,Head
BANGLADESH,1997,DRAFT ANIMALS,FAO,854000.00,Head
BANGLADESH,1996,DRAFT ANIMALS,FAO,860000.00,Head
BANGLADESH,1995,DRAFT ANIMALS,FAO,882000.00,Head
BANGLADESH,1994,DRAFT ANIMALS,FAO,874000.00,Head
BANGLADESH,1993,DRAFT ANIMALS,FAO,866000.00,Head
BANGLADESH,1992,DRAFT ANIMALS,FAO,832000.00,Head
BANGLADESH,1991,DRAFT ANIMALS,FAO,807000.00,Head
BHUTAN,2016,DRAFT ANIMALS,FAO,532.00,Head
BHUTAN,2015,DRAFT ANIMALS,FAO,586.00,Head
BHUTAN,2014,DRAFT ANIMALS,FAO,574.00,Head
BHUTAN,2013,DRAFT ANIMALS,FAO,691.00,Head
BHUTAN,2012,DRAFT ANIMALS,FAO,740.00,Head
BHUTAN,2011,DRAFT ANIMALS,FAO,851.00,Head
BHUTAN,2010,DRAFT ANIMALS,FAO,928.00,Head
BHUTAN,2009,DRAFT ANIMALS,FAO,955.00,Head
BHUTAN,2008,DRAFT ANIMALS,FAO,1200.00,Head
BHUTAN,2007,DRAFT ANIMALS,FAO,1551.00,Head
BHUTAN,2006,DRAFT ANIMALS,FAO,1683.00,Head
BHUTAN,2005,DRAFT ANIMALS,FAO,1750.00,Head
BHUTAN,2004,DRAFT ANIMALS,FAO,1800.00,Head
BHUTAN,2003,DRAFT ANIMALS,FAO,1900.00,Head
BHUTAN,2002,DRAFT ANIMALS,FAO,1800.00,Head
BHUTAN,2001,DRAFT ANIMALS,FAO,2000.00,Head
BHUTAN,2000,DRAFT ANIMALS,FAO,2200.00,Head
BHUTAN,1999,DRAFT ANIMALS,FAO,1790.00,Head
BHUTAN,1998,DRAFT ANIMALS,FAO,2700.00,Head
BHUTAN,1997,DRAFT ANIMALS,FAO,3244.00,Head
BHUTAN,1996,DRAFT ANIMALS,FAO,2889.00,Head
BHUTAN,1995,DRAFT ANIMALS,FAO,1206.00,Head
BHUTAN,1994,DRAFT ANIMALS,FAO,1513.00,Head
BHUTAN,1993,DRAFT ANIMALS,FAO,1200.00,Head
BHUTAN,1992,DRAFT ANIMALS,FAO,895.00,Head
BHUTAN,1991,DRAFT ANIMALS,FAO,2600.00,Head
BRAZIL,2016,DRAFT ANIMALS,FAO,1370941.00,Head
BRAZIL,2015,DRAFT ANIMALS,FAO,1370488.00,Head
BRAZIL,2014,DRAFT ANIMALS,FAO,1319478.00,Head
BRAZIL,2013,DRAFT ANIMALS,FAO,1332284.00,Head
BRAZIL,2012,DRAFT ANIMALS,FAO,1261922.00,Head
BRAZIL,2011,DRAFT ANIMALS,FAO,1278075.00,Head
BRAZIL,2010,DRAFT ANIMALS,FAO,1184511.00,Head
BRAZIL,2009,DRAFT ANIMALS,FAO,1135191.00,Head
BRAZIL,2008,DRAFT ANIMALS,FAO,1146690.00,Head
BRAZIL,2007,DRAFT ANIMALS,FAO,1131986.00,Head
BRAZIL,2006,DRAFT ANIMALS,FAO,1156870.00,Head
BRAZIL,2005,DRAFT ANIMALS,FAO,1173629.00,Head
BRAZIL,2004,DRAFT ANIMALS,FAO,1133622.00,Head
BRAZIL,2003,DRAFT ANIMALS,FAO,1148808.00,Head
BRAZIL,2002,DRAFT ANIMALS,FAO,1113400.00,Head
BRAZIL,2001,DRAFT ANIMALS,FAO,1118823.00,Head
BRAZIL,2000,DRAFT ANIMALS,FAO,1102551.00,Head
BRAZIL,1999,DRAFT ANIMALS,FAO,1068059.00,Head
BRAZIL,1998,DRAFT ANIMALS,FAO,1017246.00,Head
BRAZIL,1997,DRAFT ANIMALS,FAO,977767.00,Head
BRAZIL,1996,DRAFT ANIMALS,FAO,1046106.00,Head
BRAZIL,1995,DRAFT ANIMALS,FAO,1641950.00,Head
BRAZIL,1994,DRAFT ANIMALS,FAO,1571349.00,Head
BRAZIL,1993,DRAFT ANIMALS,FAO,1498890.00,Head
BRAZIL,1992,DRAFT ANIMALS,FAO,1423348.00,Head
BRAZIL,1991,DRAFT ANIMALS,FAO,1432112.00,Head
BRUNEI,2016,DRAFT ANIMALS,FAO,1916.00,Head
BRUNEI,2015,DRAFT ANIMALS,FAO,2327.00,Head
BRUNEI,2014,DRAFT ANIMALS,FAO,2400.00,Head
BRUNEI,2013,DRAFT ANIMALS,FAO,2350.00,Head
BRUNEI,2012,DRAFT ANIMALS,FAO,2439.00,Head
BRUNEI,2011,DRAFT ANIMALS,FAO,2550.00,Head
BRUNEI,2010,DRAFT ANIMALS,FAO,4124.00,Head
BRUNEI,2009,DRAFT ANIMALS,FAO,4116.00,Head
BRUNEI,2008,DRAFT ANIMALS,FAO,4885.00,Head
BRUNEI,2007,DRAFT ANIMALS,FAO,4670.00,Head
