Country,Year,Variable,Source,Value,Unit
AFGHANISTAN,2015,FERTILIZER CONSUMPTION,FAO computed,12.13,kg/ha of arable land
AFGHANISTAN,2014,FERTILIZER CONSUMPTION,FAO computed,12.12,kg/ha of arable land
AFGHANISTAN,2013,FERTILIZER CONSUMPTION,FAO computed,14.88,kg/ha of arable land
AFGHANISTAN,2012,FERTILIZER CONSUMPTION,FAO computed,28.07,kg/ha of arable land
AFGHANISTAN,2011,FERTILIZER CONSUMPTION,FAO computed,6.61,kg/ha of arable land
AFGHANISTAN,2010,FERTILIZER CONSUMPTION,FAO computed,4.25,kg/ha of arable land
AFGHANISTAN,2009,FERTILIZER CONSUMPTION,FAO computed,4.52,kg/ha of arable land
AFGHANISTAN,2008,FERTILIZER CONSUMPTION,FAO computed,2.99,kg/ha of arable land
AFGHANISTAN,2007,FERTILIZER CONSUMPTION,FAO computed,3.62,kg/ha of arable land
AFGHANISTAN,2006,FERTILIZER CONSUMPTION,FAO computed,6.29,kg/ha of arable land
AFGHANISTAN,2005,FERTILIZER CONSUMPTION,FAO computed,4.24,kg/ha of arable land
AFGHANISTAN,2004,FERTILIZER CONSUMPTION,FAO computed,4.54,kg/ha of arable land
AFGHANISTAN,2003,FERTILIZER CONSUMPTION,FAO computed,3.28,kg/ha of arable land
AFGHANISTAN,2002,FERTILIZER CONSUMPTION,FAO computed,3.40,kg/ha of arable land
AFGHANISTAN,2001,FERTILIZER CONSUMPTION,FAO computed,2.39,kg/ha of arable land
AFGHANISTAN,2000,FERTILIZER CONSUMPTION,FAO computed,0.65,kg/ha of arable land
AFGHANISTAN,1999,FERTILIZER CONSUMPTION,FAO computed,0.65,kg/ha of arable land
AFGHANISTAN,1998,FERTILIZER CONSUMPTION,FAO computed,0.90,kg/ha of arable land
AFGHANISTAN,1997,FERTILIZER CONSUMPTION,FAO computed,0.65,kg/ha of arable land
AFGHANISTAN,1996,FERTILIZER CONSUMPTION,FAO computed,0.65,kg/ha of arable land
AFGHANISTAN,1993,FERTILIZER CONSUMPTION,FAO computed,5.11,kg/ha of arable land
AFGHANISTAN,1992,FERTILIZER CONSUMPTION,FAO computed,5.79,kg/ha of arable land
