Country,Year,Variable,Source,Value,Unit
AFGHANISTAN,2007,HARVESTERS-THRESHERS,FAO,0.02,000 harvesters-threshers
AFGHANISTAN,2006,HARVESTERS-THRESHERS,FAO,0.02,000 harvesters-threshers
AFGHANISTAN,2005,HARVESTERS-THRESHERS,FAO,0.02,000 harvesters-threshers
AFGHANISTAN,2004,HARVESTERS-THRESHERS,FAO,0.01,000 harvesters-threshers
AFGHANISTAN,2002,HARVESTERS-THRESHERS,FAO,0.01,000 harvesters-threshers
ALBANIA,2009,HARVESTERS-THRESHERS,FAO,0.76,000 harvesters-threshers
ALBANIA,2008,HARVESTERS-THRESHERS,FAO,0.68,000 harvesters-threshers
ALBANIA,2007,HARVESTERS-THRESHERS,FAO,0.89,000 harvesters-threshers
ALBANIA,2006,HARVESTERS-THRESHERS,FAO,1.10,000 harvesters-threshers
ALBANIA,2005,HARVESTERS-THRESHERS,FAO,0.76,000 harvesters-threshers
ALBANIA,2004,HARVESTERS-THRESHERS,FAO,0.75,000 harvesters-threshers
ALBANIA,2003,HARVESTERS-THRESHERS,FAO,0.75,000 harvesters-threshers
ALBANIA,2002,HARVESTERS-THRESHERS,FAO,0.76,000 harvesters-threshers
ALBANIA,2001,HARVESTERS-THRESHERS,FAO,0.83,000 harvesters-threshers
ALBANIA,2000,HARVESTERS-THRESHERS,FAO,0.89,000 harvesters-threshers
ALBANIA,1999,HARVESTERS-THRESHERS,FAO,0.76,000 harvesters-threshers
ALBANIA,1998,HARVESTERS-THRESHERS,FAO,0.80,000 harvesters-threshers
ALBANIA,1997,HARVESTERS-THRESHERS,FAO,0.78,000 harvesters-threshers
ALBANIA,1996,HARVESTERS-THRESHERS,FAO,0.80,000 harvesters-threshers
ALBANIA,1995,HARVESTERS-THRESHERS,FAO,0.82,000 harvesters-threshers
ALBANIA,1994,HARVESTERS-THRESHERS,FAO,0.94,000 harvesters-threshers
ALBANIA,1993,HARVESTERS-THRESHERS,FAO,0.76,000 harvesters-threshers
ALBANIA,1992,HARVESTERS-THRESHERS,FAO,1.00,000 harvesters-threshers
ALBANIA,1991,HARVESTERS-THRESHERS,FAO,1.20,000 harvesters-threshers
ALGERIA,2004,HARVESTERS-THRESHERS,FAO,8.36,000 harvesters-threshers
ALGERIA,2003,HARVESTERS-THRESHERS,FAO,8.31,000 harvesters-threshers
ALGERIA,2002,HARVESTERS-THRESHERS,FAO,8.26,000 harvesters-threshers
ALGERIA,2001,HARVESTERS-THRESHERS,FAO,8.22,000 harvesters-threshers
ALGERIA,2000,HARVESTERS-THRESHERS,FAO,8.54,000 harvesters-threshers
ALGERIA,1999,HARVESTERS-THRESHERS,FAO,8.86,000 harvesters-threshers
ALGERIA,1998,HARVESTERS-THRESHERS,FAO,9.18,000 harvesters-threshers
ALGERIA,1997,HARVESTERS-THRESHERS,FAO,9.17,000 harvesters-threshers
ALGERIA,1996,HARVESTERS-THRESHERS,FAO,9.16,000 harvesters-threshers
ALGERIA,1995,HARVESTERS-THRESHERS,FAO,8.96,000 harvesters-threshers
ALGERIA,1994,HARVESTERS-THRESHERS,FAO,9.97,000 harvesters-threshers
ALGERIA,1993,HARVESTERS-THRESHERS,FAO,9.80,000 harvesters-threshers
ALGERIA,1992,HARVESTERS-THRESHERS,FAO,9.60,000 harvesters-threshers
ALGERIA,1991,HARVESTERS-THRESHERS,FAO,9.50,000 harvesters-threshers
ARMENIA,2009,HARVESTERS-THRESHERS,FAO,1.41,000 harvesters-threshers
ARMENIA,2008,HARVESTERS-THRESHERS,FAO,1.41,000 harvesters-threshers
ARMENIA,2007,HARVESTERS-THRESHERS,FAO,1.41,000 harvesters-threshers
ARMENIA,2006,HARVESTERS-THRESHERS,FAO,1.40,000 harvesters-threshers
ARMENIA,2005,HARVESTERS-THRESHERS,FAO,1.37,000 harvesters-threshers
ARMENIA,2004,HARVESTERS-THRESHERS,FAO,1.36,000 harvesters-threshers
ARMENIA,2003,HARVESTERS-THRESHERS,FAO,1.40,000 harvesters-threshers
ARMENIA,2002,HARVESTERS-THRESHERS,FAO,1.40,000 harvesters-threshers
ARMENIA,2001,HARVESTERS-THRESHERS,FAO,1.40,000 harvesters-threshers
ARMENIA,2000,HARVESTERS-THRESHERS,FAO,1.31,000 harvesters-threshers
ARMENIA,1999,HARVESTERS-THRESHERS,FAO,1.45,000 harvesters-threshers
ARMENIA,1998,HARVESTERS-THRESHERS,FAO,1.52,000 harvesters-threshers
ARMENIA,1997,HARVESTERS-THRESHERS,FAO,1.59,000 harvesters-threshers
ARMENIA,1996,HARVESTERS-THRESHERS,FAO,1.66,000 harvesters-threshers
ARMENIA,1995,HARVESTERS-THRESHERS,FAO,1.73,000 harvesters-threshers
ARMENIA,1994,HARVESTERS-THRESHERS,FAO,1.80,000 harvesters-threshers
ARMENIA,1993,HARVESTERS-THRESHERS,FAO,2.09,000 harvesters-threshers
ARMENIA,1992,HARVESTERS-THRESHERS,FAO,1.86,000 harvesters-threshers
AUSTRIA,2005,HARVESTERS-THRESHERS,FAO,12.09,000 harvesters-threshers
AUSTRIA,2004,HARVESTERS-THRESHERS,FAO,12.38,000 harvesters-threshers
AUSTRIA,2003,HARVESTERS-THRESHERS,FAO,12.67,000 harvesters-threshers
AUSTRIA,2002,HARVESTERS-THRESHERS,FAO,12.96,000 harvesters-threshers
AUSTRIA,2001,HARVESTERS-THRESHERS,FAO,13.25,000 harvesters-threshers
AUSTRIA,2000,HARVESTERS-THRESHERS,FAO,13.54,000 harvesters-threshers
AUSTRIA,1999,HARVESTERS-THRESHERS,FAO,13.83,000 harvesters-threshers
AUSTRIA,1998,HARVESTERS-THRESHERS,FAO,14.30,000 harvesters-threshers
AUSTRIA,1997,HARVESTERS-THRESHERS,FAO,15.00,000 harvesters-threshers
AUSTRIA,1996,HARVESTERS-THRESHERS,FAO,15.90,000 harvesters-threshers
AUSTRIA,1995,HARVESTERS-THRESHERS,FAO,16.68,000 harvesters-threshers
AUSTRIA,1994,HARVESTERS-THRESHERS,FAO,17.10,000 harvesters-threshers
AUSTRIA,1993,HARVESTERS-THRESHERS,FAO,19.47,000 harvesters-threshers
AUSTRIA,1992,HARVESTERS-THRESHERS,FAO,27.05,000 harvesters-threshers
AUSTRIA,1991,HARVESTERS-THRESHERS,FAO,27.05,000 harvesters-threshers
AZERBAIJAN,2009,HARVESTERS-THRESHERS,FAO,2.18,000 harvesters-threshers
AZERBAIJAN,2008,HARVESTERS-THRESHERS,FAO,2.22,000 harvesters-threshers
AZERBAIJAN,2007,HARVESTERS-THRESHERS,FAO,2.09,000 harvesters-threshers
AZERBAIJAN,2006,HARVESTERS-THRESHERS,FAO,1.76,000 harvesters-threshers
AZERBAIJAN,2005,HARVESTERS-THRESHERS,FAO,1.42,000 harvesters-threshers
AZERBAIJAN,2004,HARVESTERS-THRESHERS,FAO,3.46,000 harvesters-threshers
AZERBAIJAN,2003,HARVESTERS-THRESHERS,FAO,3.46,000 harvesters-threshers
AZERBAIJAN,2002,HARVESTERS-THRESHERS,FAO,3.46,000 harvesters-threshers
AZERBAIJAN,2001,HARVESTERS-THRESHERS,FAO,3.46,000 harvesters-threshers
AZERBAIJAN,2000,HARVESTERS-THRESHERS,FAO,3.48,000 harvesters-threshers
AZERBAIJAN,1999,HARVESTERS-THRESHERS,FAO,3.60,000 harvesters-threshers
AZERBAIJAN,1998,HARVESTERS-THRESHERS,FAO,3.90,000 harvesters-threshers
AZERBAIJAN,1997,HARVESTERS-THRESHERS,FAO,4.14,000 harvesters-threshers
AZERBAIJAN,1996,HARVESTERS-THRESHERS,FAO,4.10,000 harvesters-threshers
AZERBAIJAN,1995,HARVESTERS-THRESHERS,FAO,4.15,000 harvesters-threshers
AZERBAIJAN,1994,HARVESTERS-THRESHERS,FAO,4.20,000 harvesters-threshers
AZERBAIJAN,1993,HARVESTERS-THRESHERS,FAO,4.30,000 harvesters-threshers
AZERBAIJAN,1992,HARVESTERS-THRESHERS,FAO,4.20,000 harvesters-threshers
BELARUS,2009,HARVESTERS-THRESHERS,FAO,12.20,000 harvesters-threshers
BELARUS,2008,HARVESTERS-THRESHERS,FAO,12.87,000 harvesters-threshers
BELARUS,2007,HARVESTERS-THRESHERS,FAO,12.96,000 harvesters-threshers
BELARUS,2006,HARVESTERS-THRESHERS,FAO,13.34,000 harvesters-threshers
BELARUS,2005,HARVESTERS-THRESHERS,FAO,12.75,000 harvesters-threshers
BELARUS,2004,HARVESTERS-THRESHERS,FAO,12.56,000 harvesters-threshers
BELARUS,2003,HARVESTERS-THRESHERS,FAO,13.25,000 harvesters-threshers
BELARUS,2002,HARVESTERS-THRESHERS,FAO,13.79,000 harvesters-threshers
BELARUS,2001,HARVESTERS-THRESHERS,FAO,15.79,000 harvesters-threshers
BELARUS,2000,HARVESTERS-THRESHERS,FAO,17.06,000 harvesters-threshers
