Country,Year,Variable,Source,Value,Unit
AUSTRALIA,2011,MV AREA,Country Sources,75.78,000 Ha
AUSTRALIA,2010,MV AREA,Country Sources,18.90,000 Ha
AUSTRALIA,2009,MV AREA,Country Sources,8.00,000 Ha
AUSTRALIA,2008,MV AREA,Country Sources,2.20,000 Ha
AUSTRALIA,2007,MV AREA,Country Sources,20.00,000 Ha
AUSTRALIA,2006,MV AREA,Country Sources,99.00,000 Ha
AUSTRALIA,2005,MV AREA,Country Sources,51.22,000 Ha
AUSTRALIA,2004,MV AREA,Country Sources,66.40,000 Ha
AUSTRALIA,2003,MV AREA,Country Sources,45.84,000 Ha
AUSTRALIA,2002,MV AREA,Country Sources,144.00,000 Ha
AUSTRALIA,2001,MV AREA,Country Sources,177.00,000 Ha
AUSTRALIA,2000,MV AREA,Country Sources,133.30,000 Ha
AUSTRALIA,1999,MV AREA,Country Sources,151.70,000 Ha
AUSTRALIA,1998,MV AREA,Country Sources,141.20,000 Ha
AUSTRALIA,1997,MV AREA,Country Sources,166.70,000 Ha
AUSTRALIA,1996,MV AREA,Country Sources,149.70,000 Ha
AUSTRALIA,1995,MV AREA,Country Sources,129.20,000 Ha
AUSTRALIA,1994,MV AREA,Country Sources,132.70,000 Ha
AUSTRALIA,1993,MV AREA,Country Sources,125.00,000 Ha
AUSTRALIA,1992,MV AREA,Country Sources,127.00,000 Ha
AUSTRALIA,1991,MV AREA,Country Sources,89.00,000 Ha
BANGLADESH,2012,MV AREA,Country Sources,8813.00,000 Ha
BANGLADESH,2011,MV AREA,Country Sources,8815.00,000 Ha
BANGLADESH,2010,MV AREA,Country Sources,9421.00,000 Ha
BANGLADESH,2009,MV AREA,Country Sources,9020.00,000 Ha
BANGLADESH,2008,MV AREA,Country Sources,8985.00,000 Ha
BANGLADESH,2007,MV AREA,Country Sources,8444.00,000 Ha
BANGLADESH,2006,MV AREA,Country Sources,7931.00,000 Ha
BANGLADESH,2005,MV AREA,Country Sources,7602.00,000 Ha
BANGLADESH,2004,MV AREA,Country Sources,7233.00,000 Ha
BANGLADESH,2003,MV AREA,Country Sources,7173.00,000 Ha
BANGLADESH,2002,MV AREA,Country Sources,7072.00,000 Ha
BANGLADESH,2001,MV AREA,Country Sources,6884.00,000 Ha
BANGLADESH,2000,MV AREA,Country Sources,6823.00,000 Ha
BANGLADESH,1999,MV AREA,Country Sources,6624.00,000 Ha
BANGLADESH,1998,MV AREA,Country Sources,6185.00,000 Ha
BANGLADESH,1997,MV AREA,Country Sources,5708.00,000 Ha
BANGLADESH,1996,MV AREA,Country Sources,5494.00,000 Ha
BANGLADESH,1995,MV AREA,Country Sources,5194.00,000 Ha
BANGLADESH,1994,MV AREA,Country Sources,4971.00,000 Ha
BANGLADESH,1993,MV AREA,Country Sources,5067.00,000 Ha
BANGLADESH,1992,MV AREA,Country Sources,5053.00,000 Ha
BANGLADESH,1991,MV AREA,Country Sources,4857.00,000 Ha
CHINA,2000,MV AREA,Country Sources,24620.00,000 Ha
CHINA,1999,MV AREA,Country Sources,25808.00,000 Ha
CHINA,1998,MV AREA,Country Sources,24654.00,000 Ha
CHINA,1997,MV AREA,Country Sources,26382.00,000 Ha
CHINA,1996,MV AREA,Country Sources,25576.00,000 Ha
CHINA,1995,MV AREA,Country Sources,22661.00,000 Ha
CHINA,1994,MV AREA,Country Sources,24850.00,000 Ha
CHINA,1993,MV AREA,Country Sources,24474.00,000 Ha
CHINA,1992,MV AREA,Country Sources,17580.00,000 Ha
CHINA,1991,MV AREA,Country Sources,17640.00,000 Ha
INDIA,2012,MV AREA,Agriculture Statistics at a Glance in India,19771.00,000 Ha
INDIA,2011,MV AREA,Agriculture Statistics at a Glance in India,26961.00,000 Ha
INDIA,2010,MV AREA,Agriculture Statistics at a Glance in India,13521.00,000 Ha
INDIA,2009,MV AREA,Agriculture Statistics at a Glance in India,18296.00,000 Ha
INDIA,2008,MV AREA,Agriculture Statistics at a Glance in India,14815.00,000 Ha
INDIA,2007,MV AREA,Agriculture Statistics at a Glance in India,17623.00,000 Ha
INDIA,2006,MV AREA,Agriculture Statistics at a Glance in India,12601.60,000 Ha
INDIA,2005,MV AREA,Agriculture Statistics at a Glance in India,12823.51,000 Ha
INDIA,2004,MV AREA,Agriculture Statistics at a Glance in India,12247.00,000 Ha
INDIA,2003,MV AREA,Agriculture Statistics at a Glance in India,9303.20,000 Ha
INDIA,2002,MV AREA,Agriculture Statistics at a Glance in India,8719.03,000 Ha
INDIA,2001,MV AREA,Agriculture Statistics at a Glance in India,9032.30,000 Ha
INDIA,2000,MV AREA,Agriculture Statistics at a Glance in India,8788.30,000 Ha
INDIA,1999,MV AREA,Agriculture Statistics at a Glance in India,8881.10,000 Ha
INDIA,1998,MV AREA,Agriculture Statistics at a Glance in India,8335.00,000 Ha
INDIA,1998,MV AREA,Indiastat (HYVP-Crops),33000.00,000 Ha
INDIA,1997,MV AREA,Indiastat (HYVP-Crops),32200.00,000 Ha
INDIA,1996,MV AREA,Indiastat (HYVP-Crops),33399.00,000 Ha
INDIA,1995,MV AREA,Indiastat (HYVP-Crops),31375.00,000 Ha
INDIA,1994,MV AREA,Indiastat (HYVP-Crops),30836.00,000 Ha
INDIA,1993,MV AREA,Indiastat (HYVP-Crops),28707.00,000 Ha
INDIA,1992,MV AREA,Indiastat (HYVP-Crops),27485.00,000 Ha
INDIA,1991,MV AREA,Indiastat (HYVP-Crops),27953.00,000 Ha
INDONESIA,2004,MV AREA,Country Sources,10045.00,000 Ha
INDONESIA,1997,MV AREA,Country Sources,8992.00,000 Ha
