Country,Year,Variable,Source,Value,Unit
BANGLADESH,2016,PRODUCTION - PADDY,FAO,52590000.00,tonnes
BANGLADESH,2015,PRODUCTION - PADDY,FAO,51278400.00,tonnes
BANGLADESH,2014,PRODUCTION - PADDY,FAO,52325620.00,tonnes
BANGLADESH,2013,PRODUCTION - PADDY,FAO,51534000.00,tonnes
BANGLADESH,2012,PRODUCTION - PADDY,FAO,50497000.00,tonnes
BANGLADESH,2011,PRODUCTION - PADDY,FAO,50627000.00,tonnes
BANGLADESH,2010,PRODUCTION - PADDY,FAO,50061200.00,tonnes
BANGLADESH,2009,PRODUCTION - PADDY,FAO,48144000.00,tonnes
BANGLADESH,2008,PRODUCTION - PADDY,FAO,46742000.00,tonnes
BANGLADESH,2007,PRODUCTION - PADDY,FAO,43181000.00,tonnes
BANGLADESH,2006,PRODUCTION - PADDY,FAO,40773000.00,tonnes
BANGLADESH,2005,PRODUCTION - PADDY,FAO,39795616.00,tonnes
BANGLADESH,2004,PRODUCTION - PADDY,FAO,36235976.00,tonnes
BANGLADESH,2003,PRODUCTION - PADDY,FAO,38361420.00,tonnes
BANGLADESH,2002,PRODUCTION - PADDY,FAO,37593000.00,tonnes
BANGLADESH,2001,PRODUCTION - PADDY,FAO,36269000.00,tonnes
BANGLADESH,2000,PRODUCTION - PADDY,FAO,37627500.00,tonnes
BANGLADESH,1999,PRODUCTION - PADDY,FAO,34430000.00,tonnes
BANGLADESH,1998,PRODUCTION - PADDY,FAO,29710000.00,tonnes
BANGLADESH,1997,PRODUCTION - PADDY,FAO,28152000.00,tonnes
BANGLADESH,1996,PRODUCTION - PADDY,FAO,28182000.00,tonnes
BANGLADESH,1995,PRODUCTION - PADDY,FAO,26399000.00,tonnes
BANGLADESH,1994,PRODUCTION - PADDY,FAO,25124000.00,tonnes
BANGLADESH,1993,PRODUCTION - PADDY,FAO,26928000.00,tonnes
BANGLADESH,1992,PRODUCTION - PADDY,FAO,27373000.00,tonnes
BANGLADESH,1991,PRODUCTION - PADDY,FAO,27242000.00,tonnes
BANGLADESH,1990,PRODUCTION - PADDY,FAO,26777904.00,tonnes
BANGLADESH,1989,PRODUCTION - PADDY,FAO,26784480.00,tonnes
BANGLADESH,1988,PRODUCTION - PADDY,FAO,23316464.00,tonnes
BANGLADESH,1987,PRODUCTION - PADDY,FAO,23120624.00,tonnes
BANGLADESH,1986,PRODUCTION - PADDY,FAO,23110032.00,tonnes
BANGLADESH,1985,PRODUCTION - PADDY,FAO,22556288.00,tonnes
BANGLADESH,1984,PRODUCTION - PADDY,FAO,21933456.00,tonnes
BANGLADESH,1983,PRODUCTION - PADDY,FAO,21761008.00,tonnes
BANGLADESH,1982,PRODUCTION - PADDY,FAO,21324640.00,tonnes
BANGLADESH,1981,PRODUCTION - PADDY,FAO,20445872.00,tonnes
BANGLADESH,1980,PRODUCTION - PADDY,FAO,20821008.00,tonnes
BANGLADESH,1979,PRODUCTION - PADDY,FAO,19109472.00,tonnes
BANGLADESH,1978,PRODUCTION - PADDY,FAO,19582160.00,tonnes
BANGLADESH,1977,PRODUCTION - PADDY,FAO,19451488.00,tonnes
BANGLADESH,1976,PRODUCTION - PADDY,FAO,17628320.00,tonnes
BANGLADESH,1975,PRODUCTION - PADDY,FAO,19142624.00,tonnes
BANGLADESH,1974,PRODUCTION - PADDY,FAO,16929568.00,tonnes
BANGLADESH,1973,PRODUCTION - PADDY,FAO,17862704.00,tonnes
BANGLADESH,1972,PRODUCTION - PADDY,FAO,15133678.00,tonnes
BANGLADESH,1971,PRODUCTION - PADDY,FAO,14896689.00,tonnes
BANGLADESH,1970,PRODUCTION - PADDY,FAO,16714900.00,tonnes
BANGLADESH,1969,PRODUCTION - PADDY,FAO,18007296.00,tonnes
BANGLADESH,1968,PRODUCTION - PADDY,FAO,17015504.00,tonnes
BANGLADESH,1967,PRODUCTION - PADDY,FAO,16757000.00,tonnes
BANGLADESH,1966,PRODUCTION - PADDY,FAO,14363000.00,tonnes
BANGLADESH,1965,PRODUCTION - PADDY,FAO,15750540.00,tonnes
BANGLADESH,1964,PRODUCTION - PADDY,FAO,15753588.00,tonnes
BANGLADESH,1963,PRODUCTION - PADDY,FAO,15934944.00,tonnes
BANGLADESH,1962,PRODUCTION - PADDY,FAO,13304520.00,tonnes
BANGLADESH,1961,PRODUCTION - PADDY,FAO,14426184.00,tonnes
BANGLADESH,2018,PRODUCTION - PADDY,USDA,52055000.00,tonnes
BANGLADESH,2017,PRODUCTION - PADDY,USDA,48980000.00,tonnes
BANGLADESH,2016,PRODUCTION - PADDY,USDA,51872000.00,tonnes
BANGLADESH,2015,PRODUCTION - PADDY,USDA,51755000.00,tonnes
BANGLADESH,2014,PRODUCTION - PADDY,USDA,51755000.00,tonnes
BANGLADESH,2013,PRODUCTION - PADDY,USDA,51590000.00,tonnes
BANGLADESH,2012,PRODUCTION - PADDY,USDA,50735000.00,tonnes
BANGLADESH,2011,PRODUCTION - PADDY,USDA,50555000.00,tonnes
BANGLADESH,2010,PRODUCTION - PADDY,USDA,47555000.00,tonnes
BANGLADESH,2009,PRODUCTION - PADDY,USDA,46505000.00,tonnes
BANGLADESH,2008,PRODUCTION - PADDY,USDA,46805000.00,tonnes
BANGLADESH,2007,PRODUCTION - PADDY,USDA,43204000.00,tonnes
BANGLADESH,2006,PRODUCTION - PADDY,USDA,43504000.00,tonnes
BANGLADESH,2005,PRODUCTION - PADDY,USDA,43141000.00,tonnes
BANGLADESH,2004,PRODUCTION - PADDY,USDA,38404000.00,tonnes
BANGLADESH,2003,PRODUCTION - PADDY,USDA,39232000.00,tonnes
BANGLADESH,2002,PRODUCTION - PADDY,USDA,37784000.00,tonnes
BANGLADESH,2001,PRODUCTION - PADDY,USDA,36469000.00,tonnes
BANGLADESH,2000,PRODUCTION - PADDY,USDA,37633000.00,tonnes
BANGLADESH,1999,PRODUCTION - PADDY,USDA,34602000.00,tonnes
BANGLADESH,1998,PRODUCTION - PADDY,USDA,29784000.00,tonnes
BANGLADESH,1997,PRODUCTION - PADDY,USDA,28296000.00,tonnes
BANGLADESH,1996,PRODUCTION - PADDY,USDA,28326000.00,tonnes
BANGLADESH,1995,PRODUCTION - PADDY,USDA,26533000.00,tonnes
BANGLADESH,1994,PRODUCTION - PADDY,USDA,25252000.00,tonnes
BANGLADESH,1993,PRODUCTION - PADDY,USDA,27064000.00,tonnes
BANGLADESH,1992,PRODUCTION - PADDY,USDA,27513000.00,tonnes
BANGLADESH,1991,PRODUCTION - PADDY,USDA,27378000.00,tonnes
BANGLADESH,1990,PRODUCTION - PADDY,USDA,26781000.00,tonnes
BANGLADESH,1989,PRODUCTION - PADDY,USDA,26793000.00,tonnes
BANGLADESH,1988,PRODUCTION - PADDY,USDA,23327000.00,tonnes
BANGLADESH,1987,PRODUCTION - PADDY,USDA,23122000.00,tonnes
BANGLADESH,1986,PRODUCTION - PADDY,USDA,23111000.00,tonnes
BANGLADESH,1985,PRODUCTION - PADDY,USDA,22562000.00,tonnes
BANGLADESH,1984,PRODUCTION - PADDY,USDA,21932000.00,tonnes
BANGLADESH,1983,PRODUCTION - PADDY,USDA,21752000.00,tonnes
BANGLADESH,1982,PRODUCTION - PADDY,USDA,21345000.00,tonnes
BANGLADESH,1981,PRODUCTION - PADDY,USDA,20467000.00,tonnes
BANGLADESH,1980,PRODUCTION - PADDY,USDA,20844000.00,tonnes
BANGLADESH,1979,PRODUCTION - PADDY,USDA,19129000.00,tonnes
BANGLADESH,1978,PRODUCTION - PADDY,USDA,19293000.00,tonnes
BANGLADESH,1977,PRODUCTION - PADDY,USDA,19473000.00,tonnes
BANGLADESH,1976,PRODUCTION - PADDY,USDA,17647000.00,tonnes
BANGLADESH,1975,PRODUCTION - PADDY,USDA,19162000.00,tonnes
BANGLADESH,1974,PRODUCTION - PADDY,USDA,16947000.00,tonnes
BANGLADESH,1973,PRODUCTION - PADDY,USDA,17881000.00,tonnes
BANGLADESH,1972,PRODUCTION - PADDY,USDA,15150000.00,tonnes
BANGLADESH,1971,PRODUCTION - PADDY,USDA,14913000.00,tonnes
BANGLADESH,1970,PRODUCTION - PADDY,USDA,16731000.00,tonnes
BANGLADESH,1969,PRODUCTION - PADDY,USDA,18026000.00,tonnes
BANGLADESH,1968,PRODUCTION - PADDY,USDA,17033000.00,tonnes
BANGLADESH,1967,PRODUCTION - PADDY,USDA,16774000.00,tonnes
BANGLADESH,1966,PRODUCTION - PADDY,USDA,14377000.00,tonnes
BANGLADESH,1965,PRODUCTION - PADDY,USDA,15767000.00,tonnes
BANGLADESH,1964,PRODUCTION - PADDY,USDA,15770000.00,tonnes
BANGLADESH,1963,PRODUCTION - PADDY,USDA,15952000.00,tonnes
BANGLADESH,1962,PRODUCTION - PADDY,USDA,13318000.00,tonnes
BANGLADESH,1961,PRODUCTION - PADDY,USDA,14441000.00,tonnes
BANGLADESH,1960,PRODUCTION - PADDY,USDA,14522000.00,tonnes
BANGLADESH,2016,YIELD - PADDY,FAO,4.62,tonnes/ha
BANGLADESH,2015,YIELD - PADDY,FAO,4.51,tonnes/ha
BANGLADESH,2014,YIELD - PADDY,FAO,4.62,tonnes/ha
BANGLADESH,2013,YIELD - PADDY,FAO,4.53,tonnes/ha
BANGLADESH,2012,YIELD - PADDY,FAO,4.42,tonnes/ha
BANGLADESH,2011,YIELD - PADDY,FAO,4.39,tonnes/ha
BANGLADESH,2010,YIELD - PADDY,FAO,4.34,tonnes/ha
BANGLADESH,2009,YIELD - PADDY,FAO,4.24,tonnes/ha
BANGLADESH,2008,YIELD - PADDY,FAO,4.14,tonnes/ha
BANGLADESH,2007,YIELD - PADDY,FAO,4.08,tonnes/ha
BANGLADESH,2006,YIELD - PADDY,FAO,3.85,tonnes/ha
BANGLADESH,2005,YIELD - PADDY,FAO,3.78,tonnes/ha
BANGLADESH,2004,YIELD - PADDY,FAO,3.54,tonnes/ha
BANGLADESH,2003,YIELD - PADDY,FAO,3.58,tonnes/ha
BANGLADESH,2002,YIELD - PADDY,FAO,3.49,tonnes/ha
BANGLADESH,2001,YIELD - PADDY,FAO,3.40,tonnes/ha
BANGLADESH,2000,YIELD - PADDY,FAO,3.48,tonnes/ha
BANGLADESH,1999,YIELD - PADDY,FAO,3.21,tonnes/ha
BANGLADESH,1998,YIELD - PADDY,FAO,2.94,tonnes/ha
BANGLADESH,1997,YIELD - PADDY,FAO,2.74,tonnes/ha
BANGLADESH,1996,YIELD - PADDY,FAO,2.76,tonnes/ha
BANGLADESH,1995,YIELD - PADDY,FAO,2.65,tonnes/ha
BANGLADESH,1994,YIELD - PADDY,FAO,2.53,tonnes/ha
BANGLADESH,1993,YIELD - PADDY,FAO,2.72,tonnes/ha
BANGLADESH,1992,YIELD - PADDY,FAO,2.69,tonnes/ha
BANGLADESH,1991,YIELD - PADDY,FAO,2.66,tonnes/ha
BANGLADESH,1990,YIELD - PADDY,FAO,2.57,tonnes/ha
BANGLADESH,1989,YIELD - PADDY,FAO,2.56,tonnes/ha
BANGLADESH,1988,YIELD - PADDY,FAO,2.28,tonnes/ha
BANGLADESH,1987,YIELD - PADDY,FAO,2.24,tonnes/ha
BANGLADESH,1986,YIELD - PADDY,FAO,2.18,tonnes/ha
BANGLADESH,1985,YIELD - PADDY,FAO,2.17,tonnes/ha
BANGLADESH,1984,YIELD - PADDY,FAO,2.15,tonnes/ha
BANGLADESH,1983,YIELD - PADDY,FAO,2.23,tonnes/ha
BANGLADESH,1982,YIELD - PADDY,FAO,2.01,tonnes/ha
BANGLADESH,1981,YIELD - PADDY,FAO,1.95,tonnes/ha
BANGLADESH,1980,YIELD - PADDY,FAO,2.02,tonnes/ha
BANGLADESH,1979,YIELD - PADDY,FAO,1.88,tonnes/ha
BANGLADESH,1978,YIELD - PADDY,FAO,1.94,tonnes/ha
BANGLADESH,1977,YIELD - PADDY,FAO,1.94,tonnes/ha
BANGLADESH,1976,YIELD - PADDY,FAO,1.78,tonnes/ha
BANGLADESH,1975,YIELD - PADDY,FAO,1.85,tonnes/ha
BANGLADESH,1974,YIELD - PADDY,FAO,1.73,tonnes/ha
BANGLADESH,1973,YIELD - PADDY,FAO,1.81,tonnes/ha
BANGLADESH,1972,YIELD - PADDY,FAO,1.57,tonnes/ha
BANGLADESH,1971,YIELD - PADDY,FAO,1.60,tonnes/ha
BANGLADESH,1970,YIELD - PADDY,FAO,1.69,tonnes/ha
BANGLADESH,1969,YIELD - PADDY,FAO,1.75,tonnes/ha
BANGLADESH,1968,YIELD - PADDY,FAO,1.75,tonnes/ha
BANGLADESH,1967,YIELD - PADDY,FAO,1.69,tonnes/ha
BANGLADESH,1966,YIELD - PADDY,FAO,1.58,tonnes/ha
BANGLADESH,1965,YIELD - PADDY,FAO,1.68,tonnes/ha
BANGLADESH,1964,YIELD - PADDY,FAO,1.71,tonnes/ha
BANGLADESH,1963,YIELD - PADDY,FAO,1.77,tonnes/ha
BANGLADESH,1962,YIELD - PADDY,FAO,1.53,tonnes/ha
BANGLADESH,1961,YIELD - PADDY,FAO,1.70,tonnes/ha
BANGLADESH,2018,YIELD - PADDY,USDA,4.42,tonnes/ha
BANGLADESH,2017,YIELD - PADDY,USDA,4.35,tonnes/ha
BANGLADESH,2016,YIELD - PADDY,USDA,4.42,tonnes/ha
BANGLADESH,2015,YIELD - PADDY,USDA,4.40,tonnes/ha
BANGLADESH,2014,YIELD - PADDY,USDA,4.39,tonnes/ha
BANGLADESH,2013,YIELD - PADDY,USDA,4.39,tonnes/ha
BANGLADESH,2012,YIELD - PADDY,USDA,4.36,tonnes/ha
BANGLADESH,2011,YIELD - PADDY,USDA,4.31,tonnes/ha
BANGLADESH,2010,YIELD - PADDY,USDA,4.07,tonnes/ha
BANGLADESH,2009,YIELD - PADDY,USDA,4.01,tonnes/ha
BANGLADESH,2008,YIELD - PADDY,USDA,4.12,tonnes/ha
BANGLADESH,2007,YIELD - PADDY,USDA,3.89,tonnes/ha
BANGLADESH,2006,YIELD - PADDY,USDA,3.88,tonnes/ha
BANGLADESH,2005,YIELD - PADDY,USDA,3.89,tonnes/ha
BANGLADESH,2004,YIELD - PADDY,USDA,3.49,tonnes/ha
BANGLADESH,2003,YIELD - PADDY,USDA,3.60,tonnes/ha
BANGLADESH,2002,YIELD - PADDY,USDA,3.51,tonnes/ha
BANGLADESH,2001,YIELD - PADDY,USDA,3.42,tonnes/ha
BANGLADESH,2000,YIELD - PADDY,USDA,3.46,tonnes/ha
BANGLADESH,1999,YIELD - PADDY,USDA,3.23,tonnes/ha
BANGLADESH,1998,YIELD - PADDY,USDA,3.07,tonnes/ha
BANGLADESH,1997,YIELD - PADDY,USDA,2.76,tonnes/ha
BANGLADESH,1996,YIELD - PADDY,USDA,2.72,tonnes/ha
BANGLADESH,1995,YIELD - PADDY,USDA,2.67,tonnes/ha
BANGLADESH,1994,YIELD - PADDY,USDA,2.55,tonnes/ha
BANGLADESH,1993,YIELD - PADDY,USDA,2.71,tonnes/ha
BANGLADESH,1992,YIELD - PADDY,USDA,2.71,tonnes/ha
BANGLADESH,1991,YIELD - PADDY,USDA,2.67,tonnes/ha
BANGLADESH,1990,YIELD - PADDY,USDA,2.57,tonnes/ha
BANGLADESH,1989,YIELD - PADDY,USDA,2.56,tonnes/ha
BANGLADESH,1988,YIELD - PADDY,USDA,2.28,tonnes/ha
BANGLADESH,1987,YIELD - PADDY,USDA,2.24,tonnes/ha
BANGLADESH,1986,YIELD - PADDY,USDA,2.18,tonnes/ha
BANGLADESH,1985,YIELD - PADDY,USDA,2.17,tonnes/ha
BANGLADESH,1984,YIELD - PADDY,USDA,2.16,tonnes/ha
BANGLADESH,1983,YIELD - PADDY,USDA,2.06,tonnes/ha
BANGLADESH,1982,YIELD - PADDY,USDA,2.02,tonnes/ha
BANGLADESH,1981,YIELD - PADDY,USDA,1.96,tonnes/ha
BANGLADESH,1980,YIELD - PADDY,USDA,2.02,tonnes/ha
BANGLADESH,1979,YIELD - PADDY,USDA,1.90,tonnes/ha
BANGLADESH,1978,YIELD - PADDY,USDA,1.91,tonnes/ha
BANGLADESH,1977,YIELD - PADDY,USDA,1.94,tonnes/ha
BANGLADESH,1976,YIELD - PADDY,USDA,1.79,tonnes/ha
BANGLADESH,1975,YIELD - PADDY,USDA,1.86,tonnes/ha
BANGLADESH,1974,YIELD - PADDY,USDA,1.73,tonnes/ha
BANGLADESH,1973,YIELD - PADDY,USDA,1.81,tonnes/ha
BANGLADESH,1972,YIELD - PADDY,USDA,1.57,tonnes/ha
BANGLADESH,1971,YIELD - PADDY,USDA,1.61,tonnes/ha
BANGLADESH,1970,YIELD - PADDY,USDA,1.69,tonnes/ha
BANGLADESH,1969,YIELD - PADDY,USDA,1.75,tonnes/ha
BANGLADESH,1968,YIELD - PADDY,USDA,1.75,tonnes/ha
BANGLADESH,1967,YIELD - PADDY,USDA,1.70,tonnes/ha
