Country,Location,Year,Variable,Source,Value,Unit
BANGLADESH,Bandarban,2006,PRODUCTION - PADDY,Country Sources,57000.00,ton
BANGLADESH,Bandarban,2005,PRODUCTION - PADDY,Country Sources,47868.00,ton
BANGLADESH,Bandarban,2004,PRODUCTION - PADDY,Country Sources,60655.50,ton
BANGLADESH,Bandarban,2003,PRODUCTION - PADDY,Country Sources,63030.00,ton
BANGLADESH,Bandarban,2002,PRODUCTION - PADDY,Country Sources,65655.00,ton
BANGLADESH,Bandarban,2001,PRODUCTION - PADDY,Country Sources,64230.00,ton
BANGLADESH,Bandarban,2000,PRODUCTION - PADDY,Country Sources,73095.00,ton
BANGLADESH,Bandarban,1999,PRODUCTION - PADDY,Country Sources,66600.00,ton
BANGLADESH,Bandarban,1998,PRODUCTION - PADDY,Country Sources,72030.00,ton
BANGLADESH,Bandarban,1997,PRODUCTION - PADDY,Country Sources,70815.00,ton
BANGLADESH,Bandarban,1996,PRODUCTION - PADDY,Country Sources,69510.00,ton
BANGLADESH,Bandarban,1995,PRODUCTION - PADDY,Country Sources,65385.00,ton
BANGLADESH,Bandarban,1994,PRODUCTION - PADDY,Country Sources,58965.00,ton
BANGLADESH,Bandarban,1993,PRODUCTION - PADDY,Country Sources,64260.00,ton
BANGLADESH,Bandarban,1992,PRODUCTION - PADDY,Country Sources,62968.52,ton
BANGLADESH,Bandarban,1991,PRODUCTION - PADDY,Country Sources,62969.00,ton
BANGLADESH,Bandarban,1990,PRODUCTION - PADDY,Country Sources,55472.00,ton
BANGLADESH,Bandarban,1989,PRODUCTION - PADDY,Country Sources,55472.00,ton
BANGLADESH,Bandarban,1988,PRODUCTION - PADDY,Country Sources,46477.00,ton
BANGLADESH,Bandarban,1987,PRODUCTION - PADDY,Country Sources,43478.00,ton
BANGLADESH,Bandarban,2015,PRODUCTION - PADDY,Country Sources (BBS),55193.00,ton
BANGLADESH,Bandarban,2014,PRODUCTION - PADDY,Country Sources (BBS),52449.00,ton
BANGLADESH,Bandarban,2013,PRODUCTION - PADDY,Country Sources (BBS),48595.00,ton
BANGLADESH,Bandarban,2012,PRODUCTION - PADDY,Country Sources (BBS),45738.00,ton
BANGLADESH,Bandarban,2011,PRODUCTION - PADDY,Country Sources (BBS),48408.00,ton
BANGLADESH,Bandarban,2010,PRODUCTION - PADDY,Country Sources (BBS),39478.00,ton
BANGLADESH,Bandarban,2009,PRODUCTION - PADDY,Country Sources (BBS),44223.00,ton
BANGLADESH,Bandarban,2008,PRODUCTION - PADDY,Country Sources (BBS),50490.00,ton
BANGLADESH,Bandarban,2007,PRODUCTION - PADDY,Country Sources (BBS),46140.00,ton
BANGLADESH,Bandarban,2006,YIELD - PADDY,Country Sources,3.35,t/Ha
BANGLADESH,Bandarban,2005,YIELD - PADDY,Country Sources,3.09,t/Ha
BANGLADESH,Bandarban,2004,YIELD - PADDY,Country Sources,3.10,t/Ha
BANGLADESH,Bandarban,2003,YIELD - PADDY,Country Sources,3.16,t/Ha
BANGLADESH,Bandarban,2002,YIELD - PADDY,Country Sources,3.14,t/Ha
BANGLADESH,Bandarban,2001,YIELD - PADDY,Country Sources,3.17,t/Ha
BANGLADESH,Bandarban,2000,YIELD - PADDY,Country Sources,3.09,t/Ha
BANGLADESH,Bandarban,1999,YIELD - PADDY,Country Sources,2.74,t/Ha
BANGLADESH,Bandarban,1998,YIELD - PADDY,Country Sources,2.89,t/Ha
BANGLADESH,Bandarban,1997,YIELD - PADDY,Country Sources,2.83,t/Ha
BANGLADESH,Bandarban,1996,YIELD - PADDY,Country Sources,2.86,t/Ha
BANGLADESH,Bandarban,1995,YIELD - PADDY,Country Sources,2.84,t/Ha
BANGLADESH,Bandarban,1994,YIELD - PADDY,Country Sources,2.71,t/Ha
BANGLADESH,Bandarban,1993,YIELD - PADDY,Country Sources,3.01,t/Ha
BANGLADESH,Bandarban,1992,YIELD - PADDY,Country Sources,3.03,t/Ha
BANGLADESH,Bandarban,1991,YIELD - PADDY,Country Sources,3.09,t/Ha
BANGLADESH,Bandarban,1990,YIELD - PADDY,Country Sources,2.83,t/Ha
BANGLADESH,Bandarban,1989,YIELD - PADDY,Country Sources,2.95,t/Ha
BANGLADESH,Bandarban,1988,YIELD - PADDY,Country Sources,2.83,t/Ha
BANGLADESH,Bandarban,1987,YIELD - PADDY,Country Sources,2.47,t/Ha
BANGLADESH,Bandarban,2015,YIELD - PADDY,Country Sources (BBS),2.45,t/Ha
BANGLADESH,Bandarban,2014,YIELD - PADDY,Country Sources (BBS),2.43,t/Ha
BANGLADESH,Bandarban,2013,YIELD - PADDY,Country Sources (BBS),2.43,t/Ha
BANGLADESH,Bandarban,2012,YIELD - PADDY,Country Sources (BBS),2.39,t/Ha
BANGLADESH,Bandarban,2011,YIELD - PADDY,Country Sources (BBS),2.45,t/Ha
BANGLADESH,Bandarban,2010,YIELD - PADDY,Country Sources (BBS),2.23,t/Ha
BANGLADESH,Bandarban,2009,YIELD - PADDY,Country Sources (BBS),2.30,t/Ha
BANGLADESH,Bandarban,2008,YIELD - PADDY,Country Sources (BBS),2.41,t/Ha
BANGLADESH,Bandarban,2007,YIELD - PADDY,Country Sources (BBS),2.34,t/Ha
BANGLADESH,Barisal,2006,PRODUCTION - PADDY,Country Sources,1605000.00,ton
BANGLADESH,Barisal,2005,PRODUCTION - PADDY,Country Sources,1650234.00,ton
BANGLADESH,Barisal,2004,PRODUCTION - PADDY,Country Sources,1286328.00,ton
BANGLADESH,Barisal,2003,PRODUCTION - PADDY,Country Sources,1525290.00,ton
BANGLADESH,Barisal,2002,PRODUCTION - PADDY,Country Sources,1552260.00,ton
BANGLADESH,Barisal,2001,PRODUCTION - PADDY,Country Sources,1527645.00,ton
BANGLADESH,Barisal,2000,PRODUCTION - PADDY,Country Sources,1499670.00,ton
BANGLADESH,Barisal,1999,PRODUCTION - PADDY,Country Sources,1346040.00,ton
BANGLADESH,Barisal,1998,PRODUCTION - PADDY,Country Sources,845205.00,ton
BANGLADESH,Barisal,1997,PRODUCTION - PADDY,Country Sources,853665.00,ton
BANGLADESH,Barisal,1996,PRODUCTION - PADDY,Country Sources,1027800.00,ton
BANGLADESH,Barisal,1995,PRODUCTION - PADDY,Country Sources,1005825.00,ton
BANGLADESH,Barisal,1994,PRODUCTION - PADDY,Country Sources,915225.00,ton
BANGLADESH,Barisal,1993,PRODUCTION - PADDY,Country Sources,1110510.00,ton
BANGLADESH,Barisal,1992,PRODUCTION - PADDY,Country Sources,1181409.30,ton
BANGLADESH,Barisal,1991,PRODUCTION - PADDY,Country Sources,1199400.00,ton
BANGLADESH,Barisal,1990,PRODUCTION - PADDY,Country Sources,1289355.00,ton
BANGLADESH,Barisal,1989,PRODUCTION - PADDY,Country Sources,490255.00,ton
BANGLADESH,Barisal,1988,PRODUCTION - PADDY,Country Sources,1100450.00,ton
BANGLADESH,Barisal,1987,PRODUCTION - PADDY,Country Sources,1241379.00,ton
BANGLADESH,Barisal,1986,PRODUCTION - PADDY,Country Sources,1179910.00,ton
BANGLADESH,Barisal,1985,PRODUCTION - PADDY,Country Sources,1129445.00,ton
BANGLADESH,Barisal,1984,PRODUCTION - PADDY,Country Sources,1071321.00,ton
BANGLADESH,Barisal,1983,PRODUCTION - PADDY,Country Sources,1095834.00,ton
BANGLADESH,Barisal,1982,PRODUCTION - PADDY,Country Sources,1074430.00,ton
BANGLADESH,Barisal,1981,PRODUCTION - PADDY,Country Sources,987235.00,ton
BANGLADESH,Barisal,1980,PRODUCTION - PADDY,Country Sources,1170391.00,ton
BANGLADESH,Barisal,1979,PRODUCTION - PADDY,Country Sources,1029957.00,ton
BANGLADESH,Barisal,1978,PRODUCTION - PADDY,Country Sources,1071475.00,ton
BANGLADESH,Barisal,1977,PRODUCTION - PADDY,Country Sources,1059906.00,ton
BANGLADESH,Barisal,1976,PRODUCTION - PADDY,Country Sources,1062054.00,ton
BANGLADESH,Barisal,1975,PRODUCTION - PADDY,Country Sources,1054163.00,ton
BANGLADESH,Barisal,1974,PRODUCTION - PADDY,Country Sources,803385.00,ton
BANGLADESH,Barisal,1973,PRODUCTION - PADDY,Country Sources,997175.00,ton
BANGLADESH,Barisal,1972,PRODUCTION - PADDY,Country Sources,1000778.00,ton
BANGLADESH,Barisal,1971,PRODUCTION - PADDY,Country Sources,802685.00,ton
BANGLADESH,Barisal,1970,PRODUCTION - PADDY,Country Sources,793378.00,ton
BANGLADESH,Barisal,1969,PRODUCTION - PADDY,Country Sources,1527490.00,ton
BANGLADESH,Barisal,1968,PRODUCTION - PADDY,Country Sources,1328423.00,ton
BANGLADESH,Barisal,1967,PRODUCTION - PADDY,Country Sources,1402525.00,ton
BANGLADESH,Barisal,1966,PRODUCTION - PADDY,Country Sources,1139301.00,ton
BANGLADESH,Barisal,1965,PRODUCTION - PADDY,Country Sources,1362447.00,ton
BANGLADESH,Barisal,1964,PRODUCTION - PADDY,Country Sources,1382058.00,ton
BANGLADESH,Barisal,1963,PRODUCTION - PADDY,Country Sources,1894597.00,ton
BANGLADESH,Barisal,1962,PRODUCTION - PADDY,Country Sources,1499240.00,ton
BANGLADESH,Barisal,1961,PRODUCTION - PADDY,Country Sources,1623406.00,ton
BANGLADESH,Barisal,1960,PRODUCTION - PADDY,Country Sources,1452231.00,ton
BANGLADESH,Barisal,1959,PRODUCTION - PADDY,Country Sources,1287910.00,ton
BANGLADESH,Barisal,1958,PRODUCTION - PADDY,Country Sources,1075177.00,ton
BANGLADESH,Barisal,1957,PRODUCTION - PADDY,Country Sources,1089703.00,ton
BANGLADESH,Barisal,1956,PRODUCTION - PADDY,Country Sources,1225492.00,ton
BANGLADESH,Barisal,1955,PRODUCTION - PADDY,Country Sources,937736.00,ton
BANGLADESH,Barisal,1954,PRODUCTION - PADDY,Country Sources,988607.00,ton
BANGLADESH,Barisal,1953,PRODUCTION - PADDY,Country Sources,1007100.00,ton
BANGLADESH,Barisal,1952,PRODUCTION - PADDY,Country Sources,907231.00,ton
BANGLADESH,Barisal,1951,PRODUCTION - PADDY,Country Sources,868172.00,ton
BANGLADESH,Barisal,1950,PRODUCTION - PADDY,Country Sources,950189.00,ton
BANGLADESH,Barisal,1949,PRODUCTION - PADDY,Country Sources,1247123.00,ton
BANGLADESH,Barisal,1948,PRODUCTION - PADDY,Country Sources,1198879.00,ton
BANGLADESH,Barisal,1947,PRODUCTION - PADDY,Country Sources,955733.00,ton
BANGLADESH,Barisal,2015,PRODUCTION - PADDY,Country Sources (BBS),1541519.00,ton
BANGLADESH,Barisal,2014,PRODUCTION - PADDY,Country Sources (BBS),1492806.00,ton
BANGLADESH,Barisal,2013,PRODUCTION - PADDY,Country Sources (BBS),1489819.00,ton
BANGLADESH,Barisal,2012,PRODUCTION - PADDY,Country Sources (BBS),1499940.00,ton
BANGLADESH,Barisal,2011,PRODUCTION - PADDY,Country Sources (BBS),1606989.00,ton
BANGLADESH,Barisal,2010,PRODUCTION - PADDY,Country Sources (BBS),1578172.00,ton
BANGLADESH,Barisal,2009,PRODUCTION - PADDY,Country Sources (BBS),1444597.00,ton
BANGLADESH,Barisal,2008,PRODUCTION - PADDY,Country Sources (BBS),1448668.00,ton
BANGLADESH,Barisal,2007,PRODUCTION - PADDY,Country Sources (BBS),1150643.00,ton
BANGLADESH,Barisal,2006,YIELD - PADDY,Country Sources,2.70,t/Ha
BANGLADESH,Barisal,2005,YIELD - PADDY,Country Sources,2.75,t/Ha
BANGLADESH,Barisal,2004,YIELD - PADDY,Country Sources,2.28,t/Ha
BANGLADESH,Barisal,2003,YIELD - PADDY,Country Sources,2.58,t/Ha
BANGLADESH,Barisal,2002,YIELD - PADDY,Country Sources,2.62,t/Ha
BANGLADESH,Barisal,2001,YIELD - PADDY,Country Sources,2.52,t/Ha
BANGLADESH,Barisal,2000,YIELD - PADDY,Country Sources,2.55,t/Ha
BANGLADESH,Barisal,1999,YIELD - PADDY,Country Sources,2.40,t/Ha
BANGLADESH,Barisal,1998,YIELD - PADDY,Country Sources,1.64,t/Ha
BANGLADESH,Barisal,1997,YIELD - PADDY,Country Sources,1.60,t/Ha
BANGLADESH,Barisal,1996,YIELD - PADDY,Country Sources,1.89,t/Ha
BANGLADESH,Barisal,1995,YIELD - PADDY,Country Sources,1.81,t/Ha
BANGLADESH,Barisal,1994,YIELD - PADDY,Country Sources,1.66,t/Ha
BANGLADESH,Barisal,1993,YIELD - PADDY,Country Sources,1.93,t/Ha
BANGLADESH,Barisal,1992,YIELD - PADDY,Country Sources,2.09,t/Ha
BANGLADESH,Barisal,1991,YIELD - PADDY,Country Sources,1.98,t/Ha
BANGLADESH,Barisal,1990,YIELD - PADDY,Country Sources,2.10,t/Ha
BANGLADESH,Barisal,1989,YIELD - PADDY,Country Sources,0.78,t/Ha
BANGLADESH,Barisal,1988,YIELD - PADDY,Country Sources,1.76,t/Ha
BANGLADESH,Barisal,1987,YIELD - PADDY,Country Sources,2.15,t/Ha
BANGLADESH,Barisal,1986,YIELD - PADDY,Country Sources,1.90,t/Ha
BANGLADESH,Barisal,1985,YIELD - PADDY,Country Sources,1.86,t/Ha
