,Date,Number of properties available for rent
0,2006-01-01,4930.0
1,2006-02-01,5011.0
2,2006-03-01,5684.0
3,2006-04-01,7031.0
4,2006-05-01,8055.0
5,2006-06-01,7516.0
6,2006-07-01,8378.0
7,2006-08-01,9752.0
8,2006-09-01,9591.0
9,2006-10-01,9213.0
10,2006-11-01,8324.0
11,2006-12-01,7058.0
12,2007-01-01,4957.0
13,2007-02-01,4553.0
14,2007-03-01,4310.0
15,2007-04-01,4337.0
16,2007-05-01,4822.0
17,2007-06-01,5334.0
18,2007-07-01,6142.0
19,2007-08-01,6169.0
20,2007-09-01,6142.0
21,2007-10-01,6277.0
22,2007-11-01,7193.0
23,2007-12-01,8594.0
24,2008-01-01,9025.0
25,2008-02-01,9779.0
26,2008-03-01,10399.0
27,2008-04-01,10695.0
28,2008-05-01,11368.0
29,2008-06-01,12716.0
30,2008-07-01,14116.0
31,2008-08-01,15329.0
32,2008-09-01,15840.0
33,2008-10-01,16325.0
34,2008-11-01,17592.0
35,2008-12-01,19612.0
36,2009-01-01,20151.0
37,2009-02-01,20178.0
38,2009-03-01,20932.0
39,2009-04-01,21444.0
40,2009-05-01,22171.0
41,2009-06-01,22872.0
42,2009-07-01,23384.0
43,2009-08-01,23599.0
44,2009-09-01,23006.0
45,2009-10-01,22010.0
46,2009-11-01,21606.0
47,2009-12-01,21794.0
48,2010-01-01,21848.0
49,2010-02-01,20474.0
50,2010-03-01,18992.0
51,2010-04-01,19397.0
52,2010-05-01,19585.0
53,2010-06-01,20178.0
54,2010-07-01,21525.0
55,2010-08-01,21956.0
56,2010-09-01,20420.0
57,2010-10-01,18642.0
58,2010-11-01,17969.0
59,2010-12-01,17699.0
60,2011-01-01,18238.0
61,2011-02-01,16891.0
62,2011-03-01,15921.0
63,2011-04-01,17080.0
64,2011-05-01,17268.0
65,2011-06-01,16945.0
66,2011-07-01,19289.0
67,2011-08-01,19935.0
68,2011-09-01,18804.0
69,2011-10-01,18130.0
70,2011-11-01,17268.0
71,2011-12-01,15975.0
72,2012-01-01,16783.0
73,2012-02-01,16083.0
74,2012-03-01,15840.0
75,2012-04-01,16029.0
76,2012-05-01,15760.0
77,2012-06-01,16514.0
78,2012-07-01,17511.0
79,2012-08-01,17834.0
80,2012-09-01,16756.0
81,2012-10-01,15329.0
82,2012-11-01,14116.0
83,2012-12-01,13200.0
84,2013-01-01,13335.0
85,2013-02-01,12689.0
86,2013-03-01,11934.0
87,2013-04-01,11557.0
88,2013-05-01,11018.0
89,2013-06-01,11261.0
90,2013-07-01,11584.0
91,2013-08-01,11800.0
92,2013-09-01,11315.0
93,2013-10-01,10048.0
94,2013-11-01,9375.0
95,2013-12-01,9133.0
96,2014-01-01,9079.0
97,2014-02-01,8459.0
98,2014-03-01,7516.0
99,2014-04-01,7274.0
100,2014-05-01,7247.0
101,2014-06-01,7058.0
102,2014-07-01,7328.0
103,2014-08-01,7705.0
104,2014-09-01,7328.0
105,2014-10-01,6708.0
106,2014-11-01,6358.0
107,2014-12-01,5684.0
108,2015-01-01,5550.0
109,2015-02-01,5630.0
110,2015-03-01,5280.0
111,2015-04-01,5253.0
112,2015-05-01,5145.0
113,2015-06-01,4607.0
114,2015-07-01,4634.0
115,2015-08-01,5307.0
116,2015-09-01,5145.0
117,2015-10-01,4580.0
118,2015-11-01,4472.0
119,2015-12-01,4122.0
120,2016-01-01,4418.0
121,2016-02-01,4149.0
122,2016-03-01,3718.0
123,2016-04-01,3179.0
124,2016-05-01,3260.0
125,2016-06-01,3987.0
126,2016-07-01,3825.0
127,2016-08-01,3610.0
128,2016-09-01,3664.0
129,2016-10-01,3610.0
130,2016-11-01,3933.0
131,2016-12-01,4283.0
132,2017-01-01,3906.0
133,2017-02-01,3960.0
134,2017-03-01,3852.0
135,2017-04-01,3475.0
136,2017-05-01,2909.0
137,2017-06-01,3583.0
138,2017-07-01,3610.0
139,2017-08-01,2640.0
140,2017-09-01,3098.0
141,2017-10-01,3098.0
142,2017-11-01,3691.0
143,2017-12-01,2990.0
144,2018-01-01,2775.0
145,2018-02-01,2586.0
146,2018-03-01,2990.0
147,2018-04-01,2640.0
148,2018-05-01,2559.0
149,2018-06-01,2856.0
150,2018-07-01,3044.0
151,2018-08-01,3152.0
152,2018-09-01,2963.0
153,2018-10-01,3017.0
154,2018-11-01,3394.0
155,2018-12-01,3448.0
156,2019-01-01,3933.0
157,2019-02-01,3475.0
158,2019-03-01,3260.0
159,2019-04-01,3125.0
160,2019-05-01,3367.0
