Year,Births,Deaths,Natural increase,Immigrants,Emigrants,Net migration,Population change,Population
1987,61.2,32.2,29.0,17.2,40.2,-23.0,5.9,"3,546.5"
1988,57.8,31.6,26.2,19.2,61.1,-41.9,-15.8,"3,530.7"
1989,53.6,31.0,22.6,26.7,70.6,-43.9,-21.2,"3,509.5"
1990,51.9,32.8,19.1,33.3,56.3,-22.9,-3.7,"3,505.8"
1991,53.1,31.1,22.0,33.3,35.3,-2.0,19.9,"3,525.7"
1992,52.8,31.4,21.4,40.7,33.4,7.4,28.8,"3,554.5"
1993,50.4,30.4,20.0,34.7,35.1,-0.4,19.6,"3,574.1"
1994,49.1,32.6,16.6,30.1,34.8,-4.7,11.8,"3,585.9"
1995,48.4,31.2,17.2,31.2,33.1,-1.9,15.4,"3,601.3"
1996,48.8,32.0,16.7,39.2,31.2,8.0,24.8,"3,626.1"
1997,50.7,31.7,19.0,44.5,25.3,19.2,38.2,"3,664.3"
1998,52.7,31.2,21.5,46.0,28.6,17.4,38.8,"3,703.1"
1999,53.7,32.4,21.2,48.9,31.5,17.3,38.5,"3,741.6"
2000,54.0,32.1,21.8,52.6,26.6,26.0,47.9,"3,789.5"
2001,55.1,30.2,24.8,59.0,26.2,32.8,57.7,"3,847.2"
2002,58.1,29.3,28.8,66.9,25.6,41.3,70.0,"3,917.2"
2003,60.8,28.9,31.9,60.0,29.3,30.7,62.6,"3,979.9"
2004,62.0,28.6,33.3,58.5,26.5,32.0,65.3,"4,045.2"
2005,61.4,27.9,33.5,84.6,29.4,55.1,88.6,"4,133.8"
2006,61.2,27.0,34.2,107.8,36.0,71.8,106.0,"4,232.9"
2007,66.6,28.4,38.2,151.1,46.3,104.8,142.9,"4,375.8"
2008,73.0,28.0,44.9,113.5,49.2,64.3,109.2,"4,485.1"
2009,75.3,28.6,46.7,73.7,72.0,1.6,48.3,"4,533.4"
2010,77.2,28.4,48.8,41.8,69.2,-27.5,21.4,"4,554.8"
2011,75.1,27.7,47.5,53.3,80.6,-27.4,20.1,"4,574.9"
2012,73.2,28.7,44.5,57.3,83.0,-25.7,18.8,"4,593.7"
2013,69.4,29.8,39.6,62.7,81.3,-18.7,21.0,"4,614.7"
2014,68.4,29.2,39.2,66.5,75.0,-8.5,30.8,"4,645.4"
2015,66.4,29.9,36.5,75.9,70.0,5.9,42.3,"4,687.8"
2016,65.4,29.8,35.6,82.3,66.2,16.2,51.8,"4,739.6"
2017,63.9,30.8,33.1,84.6,64.8,19.8,52.9,"4,792.5"
2018,61.2,30.7,30.5,90.3,56.3,34.0,64.5,"4,857.0"
2019,61.2,30.4,30.8,88.6,54.9,33.7,64.5,"4,921.5"
