"Business Demography NACE Rev 2 by Employment Size, County, statistical",,,,,,,,,,,,
indicator and Year,,,,,,,,,,,,
,,,,,,,,,,,,
 , , ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All persons engaged size classes,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),2783,2701,2620,2611,2625,2612,2538,2620,2661,2880
 , ,Persons Engaged (Number),13758,11943,11257,11363,11315,11348,11779,12228,12620,13252
 , ,Employees (Number),11888,10185,9601,9734,9675,9737,10214,10590,10990,11468
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),4029,3880,3804,3714,3692,3675,3531,3679,3772,4047
 , ,Persons Engaged (Number),18906,16469,15302,14762,14680,14551,15052,15910,16753,17748
 , ,Employees (Number),16150,13924,12796,12282,12193,12084,12698,13446,14312,15156
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),6664,6567,6458,6367,6404,6358,6170,6562,6610,7068
 , ,Persons Engaged (Number),29831,25814,24842,25137,25596,25412,26494,28300,28672,29627
 , ,Employees (Number),25178,21431,20598,20963,21404,21253,22470,24104,24511,25316
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),27280,27201,27120,27002,27282,26927,26509,27391,27757,30041
 , ,Persons Engaged (Number),148442,133713,125772,126021,126760,130257,138240,142782,149995,156131
 , ,Employees (Number),130718,116669,108888,109327,109975,113962,122382,126538,134323,139217
 ,Donegal,,,,,,,,,,,
 , ,Active Enterprises (Number),8306,8001,7614,7505,7480,7303,7189,7454,7616,8135
 , ,Persons Engaged (Number),34433,29403,27388,27323,27092,27714,28865,30492,32536,34408
 , ,Employees (Number),28397,23839,22122,22108,21876,22725,23949,25414,27363,28876
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),70743,73833,74392,74421,76547,76956,75713,79508,79821,87828
 , ,Persons Engaged (Number),674673,616377,589197,584249,590175,603501,622780,654123,688797,725503
 , ,Employees (Number),635282,578000,550892,546275,550892,564617,584103,614116,649680,683605
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),14071,13885,13836,13651,13762,13486,13049,13503,13670,14565
 , ,Persons Engaged (Number),68393,57674,54471,54471,55259,55703,57524,58955,65134,68556
 , ,Employees (Number),58690,48565,45418,45542,46180,46860,49026,50254,56488,59392
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),8384,8217,8078,7995,7971,7882,7877,8191,8038,8846
 , ,Persons Engaged (Number),36513,31684,29388,29408,29127,29534,30518,32636,35022,36964
 , ,Employees (Number),30507,26003,23813,23858,23543,24020,24979,26932,29585,30903
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),10414,10261,9996,9933,9954,9905,9813,10314,10397,11221
 , ,Persons Engaged (Number),55567,49960,44811,43972,44366,45644,47258,51569,52597,55296
 , ,Employees (Number),48792,43606,38738,37949,38359,39722,41338,45360,46516,48706
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),4260,4241,4188,4204,4170,4130,4080,4273,4235,4661
 , ,Persons Engaged (Number),21043,18328,16673,16938,16801,16982,17633,18596,18622,19695
 , ,Employees (Number),18022,15424,13857,14120,14005,14231,14950,15780,15927,16697
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),2964,2943,2914,2874,2907,2913,2847,2992,2978,3220
 , ,Persons Engaged (Number),12635,10456,9663,9339,9157,9377,9566,10407,11045,11907
 , ,Employees (Number),10452,8373,7625,7348,7144,7370,7598,8335,9043,9766
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),1885,1816,1829,1836,1822,1844,1756,1819,1826,1966
 , ,Persons Engaged (Number),7659,6845,6464,6055,5866,5967,5955,6099,6335,6468
 , ,Employees (Number),6252,5533,5140,4717,4529,4616,4693,4805,5050,5074
 ,Limerick,,,,,,,,,,,
 , ,Active Enterprises (Number),8998,9171,8943,8864,8982,8869,8609,8979,9032,9561
 , ,Persons Engaged (Number),54102,45763,41052,39686,38903,39463,41823,43257,47344,49586
 , ,Employees (Number),48358,40087,35607,34277,33376,34082,36656,37862,42099,44093
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),1944,1922,1886,1862,1859,1856,1787,1856,1913,2022
 , ,Persons Engaged (Number),8184,7006,6628,6302,6381,6508,6767,7150,7527,7693
 , ,Employees (Number),6820,5690,5335,5014,5083,5232,5553,5877,6239,6341
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),6199,6099,5955,5901,5936,5895,5834,6131,6223,6629
 , ,Persons Engaged (Number),28100,24532,22852,22739,23217,23720,24524,26528,28745,30158
 , ,Employees (Number),24102,20776,19275,19214,19676,20255,21104,22985,25210,26422
 ,Mayo,,,,,,,,,,,
 , ,Active Enterprises (Number),7381,7222,6970,6960,6990,6854,6662,6816,6890,7293
 , ,Persons Engaged (Number),31346,27548,26146,26079,26151,26295,26886,27672,29064,30835
 , ,Employees (Number),25632,22122,20950,20926,20963,21252,21998,22713,24113,25631
 ,Meath,,,,,,,,,,,
 , ,Active Enterprises (Number),9471,9216,9049,8955,9023,9063,8988,9418,9552,10255
 , ,Persons Engaged (Number),37181,32844,30854,30464,30715,31524,33551,36915,39240,40897
 , ,Employees (Number),30779,26792,24973,24679,24871,25679,27821,30969,33376,34581
 ,Monaghan,,,,,,,,,,,
 , ,Active Enterprises (Number),3348,3265,3133,3089,3035,2986,2873,3038,3005,3317
 , ,Persons Engaged (Number),16751,14282,13162,13724,13706,13678,14249,15287,15911,16037
 , ,Employees (Number),14609,12231,11236,11825,11835,11842,12507,13447,14148,14038
 ,Offaly,,,,,,,,,,,
 , ,Active Enterprises (Number),3380,3210,3169,3110,3071,3026,2977,3102,3152,3442
 , ,Persons Engaged (Number),15650,13011,11779,11376,11293,11346,12349,12632,13346,14414
 , ,Employees (Number),13312,10860,9672,9314,9260,9354,10406,10622,11334,12186
 ,Roscommon,,,,,,,,,,,
 , ,Active Enterprises (Number),3158,3113,3076,3080,3065,3032,2908,2956,2979,3191
 , ,Persons Engaged (Number),11583,9959,9491,9459,9557,9317,9480,9913,10261,10667
 , ,Employees (Number),9202,7672,7258,7213,7312,7107,7382,7776,8150,8392
 ,Sligo,,,,,,,,,,,
 , ,Active Enterprises (Number),3199,3276,3213,3199,3228,3189,3063,3156,3146,3331
 , ,Persons Engaged (Number),16835,15476,14884,15000,15023,14563,14547,14936,15414,16206
 , ,Employees (Number),14442,13070,12558,12701,12681,12262,12362,12722,13233,13888
 ,Tipperary,,,,,,,,,,,
 , ,Active Enterprises (Number),7777,7688,7550,7508,7527,7406,7279,7459,7424,7968
 , ,Persons Engaged (Number),37533,32487,30308,29329,28680,28676,29472,30253,31856,33883
 , ,Employees (Number),31726,26917,24938,23980,23314,23439,24340,25115,26864,28562
 ,Waterford,,,,,,,,,,,
 , ,Active Enterprises (Number),5176,5079,5056,5053,5038,5015,4882,5085,4974,5474
 , ,Persons Engaged (Number),32983,28591,27116,26502,25536,26030,26267,28261,29608,32015
 , ,Employees (Number),29441,25272,23840,23289,22341,22895,23158,25041,26608,28682
 ,Westmeath,,,,,,,,,,,
 , ,Active Enterprises (Number),4679,4579,4546,4481,4456,4432,4252,4446,4435,4786
 , ,Persons Engaged (Number),20545,17245,16289,15888,15721,15623,16162,17264,18546,19969
 , ,Employees (Number),17322,14211,13322,12976,12858,12813,13516,14496,15872,17054
 ,Wexford,,,,,,,,,,,
 , ,Active Enterprises (Number),7660,7392,7170,7009,7055,7039,7027,7283,7461,7990
 , ,Persons Engaged (Number),35954,30920,28447,28378,28239,28681,29982,31860,33783,35939
 , ,Employees (Number),30652,25965,23717,23758,23532,24019,25397,27121,29023,30829
 ,Wicklow,,,,,,,,,,,
 , ,Active Enterprises (Number),7433,7395,7291,7328,7480,7413,7364,7674,7661,8277
 , ,Persons Engaged (Number),30697,26693,25570,25165,25344,25807,25196,26650,28685,30571
 , ,Employees (Number),25800,22026,21001,20537,20587,21100,20499,21783,23968,25413
Under 10,,,,,,,,,,,,
 ,Carlow,,,,,,,,,,,
 , ,Active Enterprises (Number),2516,2474,2410,2394,2421,2405,2327,2396,2423,2623
 , ,Persons Engaged (Number),5302,4830,4462,4309,4331,4339,4428,4559,4635,4884
 , ,Employees (Number),3492,3125,2850,2717,2723,2763,2898,2954,3051,3143
 ,Cavan,,,,,,,,,,,
 , ,Active Enterprises (Number),3729,3629,3564,3473,3456,3432,3278,3418,3484,3739
 , ,Persons Engaged (Number),7205,6313,5880,5773,5816,5806,5776,6136,6260,6574
 , ,Employees (Number),4501,3821,3424,3345,3375,3386,3469,3716,3861,4024
 ,Clare,,,,,,,,,,,
 , ,Active Enterprises (Number),6207,6175,6087,6007,6039,5987,5792,6158,6178,6628
 , ,Persons Engaged (Number),11495,10372,9733,9740,9574,9559,9532,9910,10029,10410
 , ,Employees (Number),6944,6080,5580,5652,5454,5477,5582,5790,5939,6158
 ,Cork,,,,,,,,,,,
 , ,Active Enterprises (Number),24860,25075,25133,25063,25383,24981,24456,25238,25554,27756
 , ,Persons Engaged (Number),49633,45590,43945,43759,44105,43594,43605,44877,45283,47278
 , ,Employees (Number),32622,29244,27711,27648,27887,27853,28283,29161,30076,30815
 ,Donegal,,,,,,,,,,,
 , ,Active Enterprises (Number),7586,7393,7045,6935,6920,6736,6603,6840,6962,7467
 , ,Persons Engaged (Number),15339,13150,12305,12094,11854,11674,11846,12240,12683,13319
 , ,Employees (Number),9471,7744,7172,7008,6774,6817,7062,7292,7648,7920
 ,Dublin,,,,,,,,,,,
 , ,Active Enterprises (Number),62880,66913,67938,68052,70213,70482,68982,72437,72292,79910
 , ,Persons Engaged (Number),110655,104567,102938,103804,106458,107488,109339,113084,114706,118815
 , ,Employees (Number),72985,67812,66143,67306,68578,69992,72017,74499,77069,78373
 ,Galway,,,,,,,,,,,
 , ,Active Enterprises (Number),12925,12904,12944,12759,12877,12605,12115,12526,12640,13470
 , ,Persons Engaged (Number),24014,21320,20667,20473,20298,20090,19971,20667,21034,21721
 , ,Employees (Number),14539,12443,11796,11704,11394,11416,11635,12128,12533,12696
 ,Kerry,,,,,,,,,,,
 , ,Active Enterprises (Number),7740,7672,7581,7510,7480,7372,7353,7636,7427,8234
 , ,Persons Engaged (Number),15680,14017,13418,13394,12993,12742,13041,13386,13226,14519
 , ,Employees (Number),9843,8491,7982,7990,7540,7347,7630,7810,7926,8580
 ,Kildare,,,,,,,,,,,
 , ,Active Enterprises (Number),9604,9563,9378,9323,9337,9266,9132,9598,9630,10412
 , ,Persons Engaged (Number),18176,16268,15305,15035,14936,14990,15217,16027,16497,17676
 , ,Employees (Number),11572,10066,9348,9112,9033,9160,9395,9926,10519,11187
 ,Kilkenny,,,,,,,,,,,
 , ,Active Enterprises (Number),3901,3924,3897,3927,3897,3848,3792,3954,3914,4331
 , ,Persons Engaged (Number),7953,7196,6821,6850,6802,6641,6821,6965,7196,7720
 , ,Employees (Number),5014,4362,4071,4097,4061,3948,4190,4209,4552,4770
 ,Laois,,,,,,,,,,,
 , ,Active Enterprises (Number),2725,2752,2732,2706,2752,2754,2678,2809,2782,3007
 , ,Persons Engaged (Number),5936,5212,4883,4804,4873,4954,4947,5203,5274,5494
 , ,Employees (Number),3805,3174,2886,2848,2887,2970,3003,3157,3300,3377
 ,Leitrim,,,,,,,,,,,
 , ,Active Enterprises (Number),1770,1722,1740,1749,1738,1753,1665,1723,1723,1862
 , ,Persons Engaged (Number),3241,2792,2794,2814,2799,2792,2763,2882,2880,3121
 , ,Employees (Number),1861,1511,1488,1497,1481,1461,1516,1604,1614,1746
 ,Limerick,,,,,,,,,,,
 , ,Active Enterprises (Number),8159,8432,8274,8221,8324,8194,7910,8227,8247,8735
 , ,Persons Engaged (Number),16650,15436,14770,14637,14437,14126,14311,14743,15034,15421
 , ,Employees (Number),11211,10036,9551,9439,9102,8916,9303,9501,9934,10059
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),1786,1797,1774,1753,1752,1746,1673,1735,1781,1888
 , ,Persons Engaged (Number),3550,3188,3078,3034,3020,3020,3035,3144,3202,3374
 , ,Employees (Number),2228,1908,1820,1778,1749,1776,1847,1894,1943,2045
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),5618,5596,5505,5457,5509,5456,5366,5633,5689,6062
 , ,Persons Engaged (Number),11286,10322,9702,9598,9729,9683,9810,10209,10477,10831
 , ,Employees (Number),7414,6681,6226,6165,6264,6293,6466,6749,7025,7184
 ,Mayo,,,,,,,,,,,
 , ,Active Enterprises (Number),6830,6761,6543,6544,6570,6428,6208,6350,6388,6778
 , ,Persons Engaged (Number),13049,11908,11269,11195,10946,10766,10551,10822,11009,11539
 , ,Employees (Number),7518,6634,6209,6162,5885,5851,5788,5980,6173,6446
 ,Meath,,,,,,,,,,,
 , ,Active Enterprises (Number),8758,8622,8505,8442,8505,8524,8417,8795,8862,9534
 , ,Persons Engaged (Number),16725,14782,14010,13911,13749,13870,14185,14887,15236,16367
 , ,Employees (Number),10491,8873,8272,8263,8026,8154,8595,9072,9485,10148
 ,Monaghan,,,,,,,,,,,
 , ,Active Enterprises (Number),3015,2996,2877,2837,2790,2742,2622,2774,2718,3015
 , ,Persons Engaged (Number),6310,5719,5227,5241,5188,5124,5132,5433,5395,5769
 , ,Employees (Number),4219,3721,3344,3386,3358,3334,3437,3632,3665,3809
 ,Offaly,,,,,,,,,,,
 , ,Active Enterprises (Number),3112,2987,2961,2916,2877,2830,2775,2885,2919,3200
 , ,Persons Engaged (Number),6515,5568,5146,5135,4975,4897,4893,5267,5351,5785
 , ,Employees (Number),4237,3469,3083,3117,2982,2950,2988,3298,3377,3592
 ,Roscommon,,,,,,,,,,,
