"Business Demography by County, Activity, statistical indicator and Year"

" "," "," ","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All Counties"
" ","Business economy excluding activities of holding companies (B to N,-642)"
" "," ","Active Enterprise (Number)",244195,244428,242692,240880,244394,243571,238249,248843,250033,271166
" "," ","Persons Engaged (Number)",1511920,1345461,1270475,1259326,1264769,1288017,1334291,1402981,1478236,1555799
" "," ","Employees (Number)",1353852,1194300,1122594,1113344,1116773,1142552,1191676,1255534,1334297,1401032
" ","Mining and quarrying (B)"
" "," ","Active Enterprise (Number)",..,434,408,412,411,421,411,405,413,451
" "," ","Persons Engaged (Number)",..,6176,4384,4269,4180,4146,4058,4164,4058,4155
" "," ","Employees (Number)",..,6061,4286,4170,4076,4048,3965,4069,3964,4057
" ","Manufacturing (C)"
" "," ","Active Enterprise (Number)",14513,14629,14311,14336,14533,14649,14628,15242,15583,16701
" "," ","Persons Engaged (Number)",218792,194172,181611,181050,178700,181091,189966,200047,213117,219762
" "," ","Employees (Number)",211796,187230,175066,174468,171901,174302,183190,192978,206095,212027
" ","Electricity, gas, steam and air conditioning supply (D)"
" "," ","Active Enterprise (Number)",..,330,403,423,456,485,483,515,551,637
" "," ","Persons Engaged (Number)",..,9922,9117,8842,8735,8246,8496,8846,9206,9588
" "," ","Employees (Number)",..,9886,9067,8802,8693,8203,8456,8807,9164,9541
" ","Water supply, sewerage, waste management and remediation activities (E)"
" "," ","Active Enterprise (Number)",844,892,928,961,985,985,975,1014,1008,1028
" "," ","Persons Engaged (Number)",7785,8009,7189,7534,7578,7508,8025,8740,8971,9461
" "," ","Employees (Number)",7496,7708,6911,7254,7286,7217,7760,8474,8709,9194
" ","Construction (F)"
" "," ","Active Enterprise (Number)",61905,57472,52607,50256,49530,48502,47349,50546,51568,57255
" "," ","Persons Engaged (Number)",190069,134313,104545,94640,89351,91122,99860,108720,120341,137239
" "," ","Employees (Number)",145740,96249,69777,61197,55736,58059,67194,73587,84956,97902
" ","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)"
" "," ","Active Enterprise (Number)",46234,46494,46820,47030,47554,47061,45618,46626,46595,48598
" "," ","Persons Engaged (Number)",374598,345721,329380,328147,327687,332768,336866,345911,356057,367405
" "," ","Employees (Number)",349291,320587,304601,303163,302441,308134,313348,322225,333324,343763
" ","Transportation and storage (H)"
" "," ","Active Enterprise (Number)",27743,27271,27196,26370,26284,25734,24595,25066,24614,25736
