"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",28618,26818,31802,34662,47238,56178,55153,61170,63168
" "," "," "," "," ","Value of Sales (Euro Million)",5620.1,4399.9,4901.9,5779.1,8815.9,10867.6,11810.3,14458.3,15981.3
" "," "," "," "," ","Mean Sale Price (Euro)",196385,164065,154139,166726,186627,193450,214138,236362,252996
" "," "," "," "," ","Median Price (Euro)",180815,140000,125000,122000,140000,148000,167500,190000,215000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",262,335,295,392,496,598,574,600,745
" "," "," "," "," ","Value of Sales (Euro Million)",38.1,38.2,25.0,37.2,46.4,66.0,71.2,75.8,105.5
" "," "," "," "," ","Mean Sale Price (Euro)",145378,114087,84846,94887,93591,110285,124027,126333,141562
" "," "," "," "," ","Median Price (Euro)",159000,110000,76068,80000,85000,110000,122250,123000,135000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",435,380,446,501,856,935,853,938,859
" "," "," "," "," ","Value of Sales (Euro Million)",61.6,42.1,36.2,40.9,59.7,79.4,80.8,100.8,106.8
" "," "," "," "," ","Mean Sale Price (Euro)",141580,110812,81117,81731,69792,84939,94679,107503,124386
" "," "," "," "," ","Median Price (Euro)",136200,108500,65000,66965,53000,71000,83071,90000,112000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",789,698,758,811,1138,1483,1511,1437,1276
" "," "," "," "," ","Value of Sales (Euro Million)",104.3,77.8,81.4,79.5,110.9,149.2,196.5,187.8,221.8
" "," "," "," "," ","Mean Sale Price (Euro)",132248,111514,107395,98069,97431,100608,130059,130673,173831
" "," "," "," "," ","Median Price (Euro)",140000,95500,94750,80000,75450,85000,125000,120000,150000
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",3262,3198,3675,3740,5173,6250,6245,6723,6686
" "," "," "," "," ","Value of Sales (Euro Million)",574.5,484.0,494.7,517.7,778.5,1046.3,1149.3,1320.3,1475.5
" "," "," "," "," ","Mean Sale Price (Euro)",176132,151359,134612,138410,150496,167407,184038,196388,220690
" "," "," "," "," ","Median Price (Euro)",175963,149125,120000,122000,130000,147000,166667,185000,203000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",934,860,1009,958,1348,1664,1616,1556,1710
" "," "," "," "," ","Value of Sales (Euro Million)",111.9,87.0,81.2,73.5,105.4,156.1,157.2,156.5,171.4
" "," "," "," "," ","Mean Sale Price (Euro)",119801,101159,80461,76704,78157,93819,97274,100594,100208
" "," "," "," "," ","Median Price (Euro)",120000,87465,65000,65000,66000,80000,85000,90000,91000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",9004,7824,10334,11983,15817,17894,17342,20543,21285
" "," "," "," "," ","Value of Sales (Euro Million)",2494.2,1953.9,2466.8,3131.7,4819.0,5611.7,6116.2,7709.1,8319.4
" "," "," "," "," ","Mean Sale Price (Euro)",277015,249733,238709,261343,304673,313610,352681,375268,390859
" "," "," "," "," ","Median Price (Euro)",250000,210000,185000,195000,245000,254750,288000,309999,334825
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",1361,1397,1532,1846,2526,3208,3110,3032,2999
" "," "," "," "," ","Value of Sales (Euro Million)",234.0,195.8,192.1,239.9,359.0,461.9,481.1,545.9,591.8
" "," "," "," "," ","Mean Sale Price (Euro)",171914,140140,125378,129955,142116,143992,154704,180055,197339
" "," "," "," "," ","Median Price (Euro)",175000,135000,116000,111500,120000,126000,139866,162250,180000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",972,975,1099,1108,1313,1718,1721,1869,1949
" "," "," "," "," ","Value of Sales (Euro Million)",134.4,109.6,117.0,108.7,144.7,198.5,214.6,245.5,268.6
" "," "," "," "," ","Mean Sale Price (Euro)",138319,112431,106502,98147,110235,115524,124692,131375,137790
" "," "," "," "," ","Median Price (Euro)",145000,90000,90000,85000,96000,98500,107000,120000,125000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",1411,1062,1327,1463,2049,2502,2473,3000,3193
" "," "," "," "," ","Value of Sales (Euro Million)",278.3,192.5,206.0,254.9,413.6,584.1,599.8,739.5,871.4
" "," "," "," "," ","Mean Sale Price (Euro)",197269,181243,155222,174230,201830,233441,242555,246501,272909
" "," "," "," "," ","Median Price (Euro)",204000,170000,145000,160000,190000,219001,233000,245000,269999
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",478,533,591,545,740,929,811,863,932
" "," "," "," "," ","Value of Sales (Euro Million)",74.4,66.4,63.5,61.8,92.5,129.8,125.4,133.6,169.4
" "," "," "," "," ","Mean Sale Price (Euro)",155720,124656,107478,113347,124967,139717,154626,154831,181738
" "," "," "," "," ","Median Price (Euro)",150000,110000,96306,98000,107250,120000,140000,150000,174500
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",429,475,577,487,701,751,837,897,934
" "," "," "," "," ","Value of Sales (Euro Million)",61.8,51.0,46.7,39.2,64.7,83.6,98.2,121.1,136.3
" "," "," "," "," ","Mean Sale Price (Euro)",144161,107411,80965,80587,92258,111308,117378,134961,145980
" "," "," "," "," ","Median Price (Euro)",143750,105555,70000,67500,79449,100000,120000,134999,140000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",217,253,254,331,385,507,531,519,518
" "," "," "," "," ","Value of Sales (Euro Million)",26.7,23.7,20.4,23.2,27.0,43.4,43.1,47.6,52.3
" "," "," "," "," ","Mean Sale Price (Euro)",123222,93690,80227,69979,70060,85590,81118,91753,100902
" "," "," "," "," ","Median Price (Euro)",130002,80000,70000,60000,55000,68000,70000,80000,90500
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",1132,1116,1053,1104,1752,2285,2132,2247,2413
" "," "," "," "," ","Value of Sales (Euro Million)",171.4,140.5,120.9,130.4,188.2,261.0,289.5,334.7,405.7
" "," "," "," "," ","Mean Sale Price (Euro)",151393,125933,114847,118124,107411,114232,135788,148971,168126
" "," "," "," "," ","Median Price (Euro)",158450,121562,95000,99500,90000,95000,118000,132000,153228
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",206,215,243,308,437,541,487,468,527
" "," "," "," "," ","Value of Sales (Euro Million)",24.6,16.3,15.8,17.6,29.2,36.0,38.1,38.9,48.0
" "," "," "," "," ","Mean Sale Price (Euro)",119552,75981,64859,57302,66847,66504,78203,83213,91149
" "," "," "," "," ","Median Price (Euro)",124675,62425,50000,45592,52000,56750,65000,71500,80000
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",711,683,923,933,1264,1487,1433,1512,1697
" "," "," "," "," ","Value of Sales (Euro Million)",110.5,82.7,107.2,96.3,145.0,185.7,208.9,256.6,318.6
" "," "," "," "," ","Mean Sale Price (Euro)",155434,121127,116094,103251,114722,124886,145784,169731,187720
" "," "," "," "," ","Median Price (Euro)",152000,110000,96475,85000,100000,119175,135000,165000,195000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",690,703,774,770,1130,1481,1355,1359,1403
" "," "," "," "," ","Value of Sales (Euro Million)",81.9,68.4,64.8,65.6,99.0,146.7,135.2,154.1,160.7
" "," "," "," "," ","Mean Sale Price (Euro)",118685,97242,83733,85210,87632,99031,99789,113365,114557
" "," "," "," "," ","Median Price (Euro)",131250,80000,65000,70000,72750,85000,82000,98000,102000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",1114,941,1042,1099,1677,1849,1887,2491,2704
" "," "," "," "," ","Value of Sales (Euro Million)",223.7,152.3,140.9,164.8,287.9,347.7,383.7,580.4,687.4
" "," "," "," "," ","Mean Sale Price (Euro)",200810,161821,135268,149975,171695,188031,203326,233004,254198
" "," "," "," "," ","Median Price (Euro)",200000,156700,120000,130000,150000,175000,195000,236999,256596
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",287,281,265,318,372,423,417,481,508
" "," "," "," "," ","Value of Sales (Euro Million)",38.7,27.5,21.5,25.1,32.2,41.1,44.6,54.4,63.4
" "," "," "," "," ","Mean Sale Price (Euro)",134758,97955,81090,78802,86574,97065,107048,113181,124873
" "," "," "," "," ","Median Price (Euro)",135000,90000,58500,59975,70723,90000,91000,110000,121500
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",337,331,377,419,529,666,660,784,741
" "," "," "," "," ","Value of Sales (Euro Million)",44.1,32.8,35.1,35.7,54.8,64.5,67.6,96.2,94.8
" "," "," "," "," ","Mean Sale Price (Euro)",130891,99177,93020,85097,103515,96791,102448,122706,127920
" "," "," "," "," ","Median Price (Euro)",130000,85125,89665,73775,90000,86000,90000,120000,125000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",394,348,453,531,593,765,802,787,918
" "," "," "," "," ","Value of Sales (Euro Million)",43.6,32.5,30.9,38.3,41.0,57.0,60.5,73.7,97.0
" "," "," "," "," ","Mean Sale Price (Euro)",110748,93370,68242,72200,69160,74571,75482,93654,105669
" "," "," "," "," ","Median Price (Euro)",110000,80000,55000,60000,56000,55615,60000,77000,90000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",420,382,487,513,771,793,843,832,977
" "," "," "," "," ","Value of Sales (Euro Million)",58.6,34.9,41.6,47.2,78.1,82.6,84.1,99.7,123.1
" "," "," "," "," ","Mean Sale Price (Euro)",139420,91287,85456,92094,101237,104224,99742,119784,125999
" "," "," "," "," ","Median Price (Euro)",124500,75500,69999,70000,80000,85000,80000,94500,97000
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",814,804,839,830,1066,1445,1499,1659,1776
" "," "," "," "," ","Value of Sales (Euro Million)",102.5,93.3,73.3,75.3,106.7,147.8,159.3,191.7,216.7
" "," "," "," "," ","Mean Sale Price (Euro)",125863,116053,87407,90704,100088,102299,106267,115536,122006
" "," "," "," "," ","Median Price (Euro)",126500,107500,65500,72000,74250,82241,90000,100000,110000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",650,725,759,850,1157,1435,1595,1554,1657
