"Private Households in Permanent Housing Units 2011 to 2016 (Number) by"
"Aggregate Town or Rural Area, Age Group of Reference Person, Nature of"
"Occupancy, County and City and Census Year"

" "," "," "," ","2011","2016"
"State"
" ","All ages"
" "," ","All types of occupancy"
" "," "," ","State",1649408,1697665
" "," "," ","Carlow",19365,20465
" "," "," ","Dublin City",207847,211591
" "," "," ","Dún Laoghaire-Rathdown",75786,78568
" "," "," ","Fingal",92951,96607
" "," "," ","South Dublin",89877,92393
" "," "," ","Kildare",70504,73348
" "," "," ","Kilkenny",33583,34743
" "," "," ","Laois",27916,28997
" "," "," ","Longford",14410,15092
" "," "," ","Louth",43897,45363
" "," "," ","Meath",61922,63861
" "," "," ","Offaly",26543,27184
" "," "," ","Westmeath",30624,31685
" "," "," ","Wexford",52345,54006
" "," "," ","Wicklow",47579,49005
" "," "," ","Clare",42534,43348
" "," "," ","Cork City",47110,49370
" "," "," ","Cork County",140445,146052
" "," "," ","Kerry",53088,54288
" "," "," ","Limerick City and County",69421,71022
" "," "," ","Tipperary",58275,59071
" "," "," ","Waterford City and County",42239,43455
" "," "," ","Galway City",27697,28827
" "," "," ","Galway County",60644,62729
" "," "," ","Leitrim",12228,12404
" "," "," ","Mayo",47932,48745
" "," "," ","Roscommon",23601,23962
" "," "," ","Sligo",24428,24761
" "," "," ","Cavan",25720,26806
" "," "," ","Donegal",57721,58305
" "," "," ","Monaghan",21176,21612
" "," ","Owner occupied with loan or mortgage"
" "," "," ","State",583148,535675
" "," "," ","Carlow",6669,6232
" "," "," ","Dublin City",53054,48209
" "," "," ","Dún Laoghaire-Rathdown",26305,24459
" "," "," ","Fingal",43811,39983
" "," "," ","South Dublin",37405,34267
" "," "," ","Kildare",32476,30295
" "," "," ","Kilkenny",12219,11287
" "," "," ","Laois",11219,10351
" "," "," ","Longford",4209,3864
" "," "," ","Louth",17662,16356
" "," "," ","Meath",29817,27678
" "," "," ","Offaly",9713,8973
" "," "," ","Westmeath",11385,10325
" "," "," ","Wexford",18103,16562
" "," "," ","Wicklow",19234,17790
" "," "," ","Clare",15493,14124
" "," "," ","Cork City",9772,8951
" "," "," ","Cork County",53371,50147
" "," "," ","Kerry",15526,14236
" "," "," ","Limerick City and County",23043,20667
" "," "," ","Tipperary",19842,17616
" "," "," ","Waterford City and County",14419,12917
" "," "," ","Galway City",6828,6079
" "," "," ","Galway County",22278,21239
" "," "," ","Leitrim",3729,3476
" "," "," ","Mayo",15000,13762
" "," "," ","Roscommon",7807,7163
" "," "," ","Sligo",7671,6997
" "," "," ","Cavan",9174,8507
" "," "," ","Donegal",18418,16335
" "," "," ","Monaghan",7496,6828
" "," ","Owner occupied without loan or mortgage"
" "," "," ","State",566776,611877
" "," "," ","Carlow",7015,7591
" "," "," ","Dublin City",54498,57064
" "," "," ","Dún Laoghaire-Rathdown",27261,29830
" "," "," ","Fingal",21450,25364
" "," "," ","South Dublin",25310,28593
" "," "," ","Kildare",19514,22511
" "," "," ","Kilkenny",13099,14039
" "," "," ","Laois",9556,10429
" "," "," ","Longford",5299,5753
" "," "," ","Louth",14014,15145
" "," "," ","Meath",18724,20987
" "," "," ","Offaly",10311,10920
" "," "," ","Westmeath",10610,11590
" "," "," ","Wexford",20423,22049
" "," "," ","Wicklow",15471,17315
" "," "," ","Clare",16913,18036
" "," "," ","Cork City",15333,15889
" "," "," ","Cork County",51798,56412
" "," "," ","Kerry",23603,24879
" "," "," ","Limerick City and County",26180,27562
" "," "," ","Tipperary",23076,24414
" "," "," ","Waterford City and County",15047,16134
" "," "," ","Galway City",6692,7386
" "," "," ","Galway County",25429,26940
" "," "," ","Leitrim",5288,5570
" "," "," ","Mayo",21698,22777
" "," "," ","Roscommon",10541,11071
" "," "," ","Sligo",9500,10154
" "," "," ","Cavan",9908,10657
" "," "," ","Donegal",24681,25875
" "," "," ","Monaghan",8534,8941
" "," ","Rented from private landlord"
" "," "," ","State",305377,309728
" "," "," ","Carlow",3064,3130
" "," "," ","Dublin City",66613,62865
" "," "," ","Dún Laoghaire-Rathdown",15152,15906
" "," "," ","Fingal",20029,20558
" "," "," ","South Dublin",15141,15133
" "," "," ","Kildare",12178,12629
" "," "," ","Kilkenny",4578,4767
" "," "," ","Laois",3695,4024
" "," "," ","Longford",2311,2621
" "," "," ","Louth",6524,6909
" "," "," ","Meath",8489,9332
" "," "," ","Offaly",3614,3721
" "," "," ","Westmeath",5542,5928
" "," "," ","Wexford",7603,7887
" "," "," ","Wicklow",7087,7237
" "," "," ","Clare",6056,6323
" "," "," ","Cork City",12727,12988
" "," "," ","Cork County",22468,23043
