T26,Water supply and sanitation services,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, urban (Proportion of population with access)",84.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, rural (Proportion of population with access)",48.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2005,"Safely managed drinking water sources, total (Proportion of population with access)",66.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",27.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2005,"Safely managed sanitation facilities, total (Proportion of population with access)",31.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, urban (Proportion of population with access)",85.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, rural (Proportion of population with access)",55.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed drinking water sources, total (Proportion of population with access)",70.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",31.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2010,"Safely managed sanitation facilities, total (Proportion of population with access)",35.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, urban (Proportion of population with access)",85.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, rural (Proportion of population with access)",54.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed drinking water sources, total (Proportion of population with access)",71.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",43.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",34.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
1,"Total, all countries or areas",2015,"Safely managed sanitation facilities, total (Proportion of population with access)",39.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",30.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",18.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",21.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
15,Northern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",25.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",45.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",46.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",23.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",41.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",4.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",12.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",44.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",14.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",47.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",7.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
14,Eastern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
18,Southern Africa,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",89.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
18,Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",88.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
18,Southern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",85.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
11,Western Africa,2005,"Safely managed drinking water sources, total (Proportion of population with access)",21.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
11,Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",23.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
11,Western Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",25.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",78.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",79.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",99.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",89.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
21,Northern America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",79.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",77.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2005,"Safely managed drinking water sources, total (Proportion of population with access)",62.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",13.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",76.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",63.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",76.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, total (Proportion of population with access)",65.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",22.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
29,Caribbean,2001,"Safely managed sanitation facilities, urban (Proportion of population with access)",12.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",18.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",14.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",46.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
